Datensatztyp*;EinheitMastrNummer;Anlagenbetreiber;Anzeigename;Postleitzahl;Ort;Strasse;Hausnummer;Bundesland;Land;Jahr_Inbetriebnahme;Jahr_Stilllegung**;Kraftwerksstatus;Energietraeger;Hauptbrennstoff;Waermeauskopplung_KWK;Erneuerbarer_Energietraeger;Bruttoleistung_MW;Nettonennleistung_MW;Technologie_Stromerzeugung;Volleinspeisung_Teileinspeisung;Spannungsebene;Anschlussnetzbetreiber;Bestandteil_Grenzkraftwerk;Grenzkraftwerk_Nettonennleistung_MW
Einzelanlage;SEE959613772449;Buchmann Karton;Gasturbine 5;76855;Annweiler;Wasgaustra?e;5;RheinlandPfalz;Deutschland;1992;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;6;5,4;GasturbinenmitAbhitzekessel;TeileinspeisungEigenverbrauch;Mittelspannung;Pfalzwerke Netz AG (SNB961471621746);Nein;
Einzelanlage;SEE960273606623;BEH Bioenergie Hannover GmbH;Biomasseheizkraftwerk Hannover St?cken;30419;Hannover;Stelinger Stra?e;19;Niedersachsen;Deutschland;2025;;InBetrieb;Waerme;Dampf;Ja;Nein;23,256;20,108;KondensationsmaschinemitEntnahme;TeileinspeisungEigenverbrauch;UmspannungZurMittelspannung;enercity Netz GmbH (SNB971746988153);Nein;
Einzelanlage;SEE963125615224;Stadtwerke Kiel AG;K?stenkraftwerk K.I.E.L Motor 14;24149;Kiel;Hasselfelde;30;SchleswigHolstein;Deutschland;2018;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;9,571;9,456;Verbrennungsmotor;Volleinspeisung;Hochspannung;SWKiel Netz GmbH (SNB973742186519);Nein;
Einzelanlage;SEE965660903200;DREWAG - Stadtwerke Dresden GmbH;Gasmotoren-Heizkraftwerk Dresden-Reick - Aggregat I;01277;Dresden;Liebst?dter Stra?e;1;Sachsen;Deutschland;2022;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;11,76;11,5;Verbrennungsmotor;Volleinspeisung;Mittelspannung;SachsenNetze GmbH (SNB980808485264);Nein;
Einzelanlage;SEE967544153657;Stadtwerke Kiel AG;K?stenkraftwerk K.I.E.L Motor 6;24149;Kiel;Hasselfelde;30;SchleswigHolstein;Deutschland;2018;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;9,571;9,456;Verbrennungsmotor;TeileinspeisungEigenverbrauch;Hochspannung;SWKiel Netz GmbH (SNB973742186519);Nein;
Einzelanlage;SEE970806189455;Volkswagen Sachsen GmbH;BHKW-G66-KWK-gro?;08058;Zwickau;Glauchauer Stra?e;40;Sachsen;Deutschland;2014;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;12,9;12,747;Verbrennungsmotor;TeileinspeisungEigenverbrauch;UmspannungZurMittelspannung;Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931);Nein;
Einzelanlage;SEE971796321603;Zweckverband Abfallwirtschaft Raum W?rzburg;TS II;97076;W?rzburg;Gattingerstra?e;31;Bayern;Deutschland;1998;;InBetrieb;Abfall;AbfallHausmuellSiedlungsabfaelle;Ja;Nein;16;12;KondensationsmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;Mainfranken Netze GmbH (SNB915316807789);Nein;
Einzelanlage;SEE963197749315;SWP Stadtwerke Pforzheim;MOT 4;75175;Pforzheim;Hohwiesenweg;19;BadenWuerttemberg;Deutschland;2021;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;10,387;10,285;Verbrennungsmotor;TeileinspeisungEigenverbrauch;Hochspannung;SWP Stadtwerke Pforzheim GmbH & Co. KG (SNB929168402344);Nein;
Einzelanlage;SEE936181210535;K+S Minerals and Agriculture GmbH;Kraftwerk ZI GT 2;39326;Zielitz;Farsleber Stra?e;1;SachsenAnhalt;Deutschland;2017;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;5,582;5,49;GasturbinenmitnachgeschalteterDampfturbine;TeileinspeisungEigenverbrauch;Hochspannung;Avacon Netz GmbH (SNB990362338043);Nein;
Einzelanlage;SEE942777699660;EBS Kraftwerk GmbH;EBKW Knapsack;50354;H?rth;Industriestra?e;300;NordrheinWestfalen;Deutschland;2009;;InBetrieb;Abfall;Industrieabfall;Nein;Nein;33,42;29,9;KondensationsmaschineohneEntnahme;Volleinspeisung;Mittelspannung;YNCORIS GmbH & Co. KG (SNB948485211972);Nein;
