nr_MASTR,nr_betreiber,energie_type,verknuepfte_einheiten,name,einspeisung,leistung_brutto,plz,landkreis,ort,strasse,hausnummer,bundesland,laenge,breite,jahr_inbetriebnahme,jahr_stillgelegt,stillgelegt,name_KW,energietraeger,nr_KW
SEE941914562225,ABR901644242491,Wasser,"SEE941914562225, SEE953255355404",Wasserkraftanlage Oder - Turbine 1 - Talsperre,Teileinspeisung (einschließlich Eigenverbrauch),4700,37431,Göttingen,Bad Lauterberg,Odertalsperre,0,Niedersachsen,10.504712,51.646122,1934,NA,FALSE,NA,Speicherwasseranlage,NA
SEE970236396232,ABR925987931874,Wasser,"SEE970236396232, SEE917396858910",WKW II,Volleinspeisung,8500,83342,Traunstein,Tacherting,Kraftwerkstraße,1,Bayern,12.576,48.068,1910,NA,FALSE,NA,Laufwasseranlage,NA
SEE980008908440,ABR925987931874,Wasser,SEE980008908440,WKW III,Volleinspeisung,19000,84579,Altötting,Unterneukirchen,Mühlthal,1,Bayern,12.652,48.154,1920,NA,FALSE,WKW III,Laufwasseranlage,NA
SEE986939069267,ABR925987931874,Wasser,SEE986939069267,WKW I,Volleinspeisung,1900,83308,Traunstein,Trostberg,Schwarzauer Straße,5,Bayern,12.546325,48.024852,1910,NA,FALSE,WKW I,Laufwasseranlage,NA
SEE931190822052,ABR989535072051,Wasser,SEE931190822052,3126407 - Wasserkraftanlage 1,Volleinspeisung,1717,87477,Oberallgäu,Sulzberg,Illerstraße,12,Bayern,10.323696,47.691143,2011,NA,FALSE,HWK,Laufwasseranlage,NA
SEE919626417423,ABR943890275502,Wasser,SEE919626417423,Kraftwerk Kahlenberg Generator 1,Teileinspeisung (einschließlich Eigenverbrauch),1350,45468,Mülheim an der Ruhr,Mülheim,Ruhrinselweg,1,Nordrhein-Westfalen,6.875463,51.421632,2000,NA,FALSE,Kraftwerk Kahlenberg,Laufwasseranlage,NA
SEE998337266582,ABR989402884855,Wasser,"SEE998337266582, SEE906326722117, SEE973276921297, SEE911899162451",WKW Böfinger Halde Generator 1,Volleinspeisung,5018.75,89075,Ulm,Ulm,Talfinger Uferstraße,10,Baden-Württemberg,10.025642,48.423819,1953,NA,FALSE,WKW Böfinger Halde Generator 1,Laufwasseranlage,NA
SEE924412591423,ABR953010524540,Wasser,"SEE924412591423, SEE925894626634",Weserkraftwerk Bremen Turbine 1,Volleinspeisung,5000,28207,Bremen,Bremen,Hastedter Osterdeich,NA,Bremen,8.863932,53.061351,2011,NA,FALSE,NA,Laufwasseranlage,NA
SEE925894626634,ABR953010524540,Wasser,"SEE924412591423, SEE925894626634",Weserkraftwerk Bremen Turbine 2,Teileinspeisung (einschließlich Eigenverbrauch),5000,28207,Bremen,Bremen,Hastedter Osterdeich,NA,Bremen,8.863896,53.061364,2011,NA,FALSE,NA,Laufwasseranlage,NA
SEE938477978983,ABR937352321692,Wasser,"SEE938477978983, SEE965966201352, SEE968039156900, SEE927000188951",Biggekraftwerk Generator 1,Volleinspeisung,5000,57439,Olpe,Attendorn,NA,NA,Nordrhein-Westfalen,7.893554,51.116695,1965,NA,FALSE,Biggekraftwerk,Speicherwasseranlage,NA
SEE965966201352,ABR937352321692,Wasser,"SEE938477978983, SEE965966201352, SEE968039156900, SEE927000188951",Biggekraftwerk Generator 2,Volleinspeisung,5000,57439,Olpe,Attendorn,NA,NA,Nordrhein-Westfalen,7.893335,51.11673,1965,NA,FALSE,Biggekraftwerk,Speicherwasseranlage,NA
SEE989743813804,ABR921440481122,Wasser,SEE989743813804,Schwabmünchen M1,Volleinspeisung,2600,86830,Augsburg,Schwabmünchen,Krumbacher Straße,59,Bayern,10.729,48.191,1956,NA,FALSE,Schwabmünchen,Laufwasseranlage,NA
SEE968039156900,ABR937352321692,Wasser,"SEE938477978983, SEE965966201352, SEE968039156900, SEE927000188951",Biggekraftwerk Generator 3,Volleinspeisung,5000,57439,Olpe,Attendorn,NA,NA,Nordrhein-Westfalen,7.893097,51.116742,1965,NA,FALSE,NA,Speicherwasseranlage,NA
SEE961273659862,ABR921440481122,Wasser,SEE961273659862,Mittelstetten M1,Volleinspeisung,2400,86830,Augsburg,Schwabmünchen,NA,NA,Bayern,10.72,49.21,1970,NA,FALSE,Mittelstetten,Laufwasseranlage,NA
SEE928550187227,ABR921440481122,Wasser,SEE928550187227,Großaitingen M1,Teileinspeisung (einschließlich Eigenverbrauch),2400,86845,Augsburg,Großaitingen,NA,NA,Bayern,10.76,48.23,1970,NA,FALSE,Großaitingen,Laufwasseranlage,NA
SEE950719469462,ABR921440481122,Wasser,SEE950719469462,Bobingen M1,Volleinspeisung,2600,86399,Augsburg,Bobingen,NA,NA,Bayern,10.8,48.26,1982,NA,FALSE,Bobingen,Laufwasseranlage,NA
SEE922978278147,ABR921440481122,Wasser,SEE922978278147,Inningen M1,Volleinspeisung,2500,86199,Augsburg,Augsburg,NA,NA,Bayern,10.83,48.29,1983,NA,FALSE,Inningen,Laufwasseranlage,NA
SEE943168209864,ABR970552780272,Wasser,SEE943168209864,Wasserkraftanlage Bochum-Stiepel,Volleinspeisung,1040,44797,Bochum,Bochum,Brockhauser Str.,149 a,Nordrhein-Westfalen,7.220887,51.412809,2017,NA,FALSE,Wasserkraftanlage Bochum-Stiepel,Laufwasseranlage,NA
SEE997618549246,ABR921440481122,Wasser,SEE997618549246,Oberegg M1,Teileinspeisung (einschließlich Eigenverbrauch),1100,86519,Günzburg,Wiesenbach,Kanalweg,2,Bayern,10.31,48.28,1942,NA,FALSE,Oberegg,Laufwasseranlage,NA
SEE992020915382,ABR921440481122,Wasser,"SEE992020915382, SEE992283118681, SEE938968890992, SEE956217611815",Fluhmühle M3,Teileinspeisung (einschließlich Eigenverbrauch),1090,87764,Unterallgäu,Legau,NA,NA,Bayern,10.192668,47.839568,1944,NA,FALSE,Fluhmühle,Laufwasseranlage,NA
SEE992283118681,ABR921440481122,Wasser,"SEE992020915382, SEE992283118681, SEE938968890992, SEE956217611815",Fluhmühle M2,Teileinspeisung (einschließlich Eigenverbrauch),1090,87764,Unterallgäu,Legau,Fluhmühle,NA,Bayern,10.192668,47.839568,1944,NA,FALSE,Fluhmühle,Laufwasseranlage,NA
SEE926056992161,ABR921440481122,Wasser,"SEE926056992161, SEE940075857089",Altusried M1,Teileinspeisung (einschließlich Eigenverbrauch),3025,87452,Oberallgäu,Altusried,Äußere Illerstraße,6,Bayern,10.227499,47.817052,1961,NA,FALSE,Altusried,Laufwasseranlage,NA
SEE940075857089,ABR921440481122,Wasser,"SEE926056992161, SEE940075857089",Altusried M2,Teileinspeisung (einschließlich Eigenverbrauch),3025,87452,Oberallgäu,Altusried,Äußere Illerstraße,NA,Bayern,10.227499,47.817052,1961,NA,FALSE,Altusried,Laufwasseranlage,NA
SEE938968890992,ABR921440481122,Wasser,"SEE992020915382, SEE992283118681, SEE938968890992, SEE956217611815",Fluhmühle M1,Teileinspeisung (einschließlich Eigenverbrauch),1120,87764,Unterallgäu,Legau,Fluhmühle,NA,Bayern,10.192668,47.839568,1944,NA,FALSE,Fluhmühle,Laufwasseranlage,NA
SEE956217611815,ABR921440481122,Wasser,"SEE992020915382, SEE992283118681, SEE938968890992, SEE956217611815",Fluhmühle M4,Teileinspeisung (einschließlich Eigenverbrauch),1190,87764,Unterallgäu,Legau,NA,NA,Bayern,10.192668,47.839568,1944,NA,FALSE,Fluhmühle,Laufwasseranlage,NA
SEE936647298558,ABR921440481122,Wasser,"SEE936647298558, SEE963568957363, SEE923959812879, SEE910649562176",Legau M1,Teileinspeisung (einschließlich Eigenverbrauch),1155,87764,Unterallgäu,Legau,Sack,47,Bayern,10.181145,47.869845,1943,NA,FALSE,Legau,Laufwasseranlage,NA
SEE904210485728,ABR985524030989,Wasser,SEE904210485728,WKA Siebnach,Volleinspeisung,1030,86833,Augsburg,Ettringen,NA,NA,Bayern,10.686142,48.141153,2003,NA,FALSE,NA,Laufwasseranlage,NA
SEE990075658995,ABR901644242491,Wasser,SEE990075658995,Wasserkraftanlage Oker - Turbine 1 - Talsperre,Teileinspeisung (einschließlich Eigenverbrauch),4140,38642,Goslar,Goslar,Okertal,NA,Niedersachsen,10.471164,51.85775,1957,NA,FALSE,Wasserkraftanlage Odertalsperre,Speicherwasseranlage,NA
SEE942841354174,ABR901644242491,Wasser,"SEE942841354174, SEE955419269251, SEE994392960823, SEE951254791995",Wasserkraftanlage Söse - Turbine 1 - Hochwasser,Teileinspeisung (einschließlich Eigenverbrauch),1258,37520,Göttingen,Osterode,Sösetalsperre,1,Niedersachsen,10.306052,51.738146,1932,NA,FALSE,NA,Speicherwasseranlage,NA
SEE901878447143,ABR968352420016,Wasser,SEE901878447143,"WKW""ATEX""",Volleinspeisung,1770,94481,Freyung-Grafenau,Grafenau,Elsenthal,15,Bayern,13.267489,48.391979,2018,NA,FALSE,"WKW""ATEX""",Laufwasseranlage,NA
SEE963568957363,ABR921440481122,Wasser,"SEE936647298558, SEE963568957363, SEE923959812879, SEE910649562176",Legau M2,Teileinspeisung (einschließlich Eigenverbrauch),1210,87764,Unterallgäu,Legau,Sack,47,Bayern,10.181145,47.869845,1943,NA,FALSE,Legau,Laufwasseranlage,NA
SEE923959812879,ABR921440481122,Wasser,"SEE936647298558, SEE963568957363, SEE923959812879, SEE910649562176",Legau M3,Teileinspeisung (einschließlich Eigenverbrauch),1210,87764,Unterallgäu,Legau,Sack,47,Bayern,10.181145,47.869845,1943,NA,FALSE,Legau,Laufwasseranlage,NA
SEE910649562176,ABR921440481122,Wasser,"SEE936647298558, SEE963568957363, SEE923959812879, SEE910649562176",Legau M4,Volleinspeisung,1345,87764,Unterallgäu,Legau,Sack,47,Bayern,10.181145,47.869845,2016,NA,FALSE,Legau,Laufwasseranlage,NA
SEE988972242911,ABR925974012494,Wasser,"SEE988972242911, SEE919604603343",Schoden Maschine 1,Volleinspeisung,1750,54441,Trier-Saarburg,Schoden,Hauptstraße,NA,Rheinland-Pfalz,6.574464,49.638191,1982,NA,FALSE,NA,Laufwasseranlage,NA
SEE985207643796,ABR998231634548,Wasser,"SEE985207643796, SEE989473483247","Wasserkraftanlage am Hochablass im Lech (Fluss-km 47,000)- Turbine 1",Volleinspeisung,1720,86152,Augsburg,Augsburg,NA,NA,Bayern,10.936912,48.343924,2013,NA,FALSE,"Wasserkraftanlage am Hochablass im Lech (Fluss-km 47,000)",Laufwasseranlage,NA
SEE919604603343,ABR925974012494,Wasser,"SEE988972242911, SEE919604603343",Schoden Maschine 2,Volleinspeisung,1750,54441,Trier-Saarburg,Schoden,Hauptstraße,NA,Rheinland-Pfalz,6.574464,49.638191,1982,NA,FALSE,NA,Laufwasseranlage,NA
SEE972862938909,ABR992390403199,Wasser,SEE972862938909,WKA,Volleinspeisung,1710,08328,Erzgebirgskreis,Stützengrün,NA,NA,Sachsen,12.60143,50.530107,1997,NA,FALSE,TSE,Laufwasseranlage,NA
SEE989473483247,ABR998231634548,Wasser,"SEE985207643796, SEE989473483247","Wasserkraftanlage am Hochablass im Lech (Fluss-km 47,000)- Turbine 2",Volleinspeisung,1720,86152,Augsburg,Augsburg,NA,NA,Bayern,10.936912,48.343924,2013,NA,FALSE,"Wasserkraftanlage am Hochablass im Lech (Fluss-km 47,000)",Laufwasseranlage,NA
SEE906326722117,ABR989402884855,Wasser,"SEE998337266582, SEE906326722117, SEE973276921297, SEE911899162451",WKW Böfinger Halde Generator 2,Volleinspeisung,5018.75,89075,Ulm,Ulm,Talfinger Uferstraße,10,Baden-Württemberg,10.025348,48.4239,1953,NA,FALSE,WKW Böfinger Halde Generator 2,Laufwasseranlage,NA
SEE988258591474,ABR989402884855,Wasser,"SEE988258591474, SEE979323976623, SEE929004634809, SEE919573712381",WKW Donaustetten Generator 1,Volleinspeisung,1600,89079,Ulm,Ulm,Am Kraftwerk,18,Baden-Württemberg,9.924173,48.323767,1936,NA,FALSE,WKW Donaustetten Generator 1,Laufwasseranlage,NA
SEE918933000502,ABR921440481122,Wasser,"SEE918933000502, SEE910494465844",Ellgau M1,Teileinspeisung (einschließlich Eigenverbrauch),5000,86679,Augsburg,Ellgau,NA,NA,Bayern,10.878428,48.596926,1952,NA,FALSE,Ellgau,Laufwasseranlage,NA
SEE979323976623,ABR989402884855,Wasser,"SEE988258591474, SEE979323976623, SEE929004634809, SEE919573712381",WKW Donaustetten Generator 2,Volleinspeisung,1600,89079,Ulm,Ulm,Am Kraftwerk,18,Baden-Württemberg,9.924138,48.323787,1936,NA,FALSE,WKW Donaustetten Generator 2,Laufwasseranlage,NA
SEE929004634809,ABR989402884855,Wasser,"SEE988258591474, SEE979323976623, SEE929004634809, SEE919573712381",WKW Donaustetten Generator 3,Volleinspeisung,1600,89079,Ulm,Ulm,Am Kraftwerk,18,Baden-Württemberg,9.923764,48.323847,1936,NA,FALSE,WKW Donaustetten Generator 3,Laufwasseranlage,NA
SEE919573712381,ABR989402884855,Wasser,"SEE988258591474, SEE979323976623, SEE929004634809, SEE919573712381",WKW Donaustetten Generator 4,Volleinspeisung,1600,89079,Ulm,Ulm,Am Kraftwerk,18,Baden-Württemberg,9.923885,48.323834,1936,NA,FALSE,WKW Donaustetten Generator 4,Laufwasseranlage,NA
SEE910494465844,ABR921440481122,Wasser,"SEE918933000502, SEE910494465844",Ellgau M2,Teileinspeisung (einschließlich Eigenverbrauch),5000,86679,Augsburg,Ellgau,NA,NA,Bayern,10.878428,48.596926,1952,NA,FALSE,NA,Laufwasseranlage,NA
SEE965606617895,ABR921440481122,Wasser,"SEE965606617895, SEE969167735944",Höchstädt M1,Volleinspeisung,5000,89420,Dillingen a.d. Donau,Höchstädt,Wertinger Straße,28 a,Bayern,10.582656,48.603538,1982,NA,FALSE,Höchstädt,Laufwasseranlage,NA
SEE969167735944,ABR921440481122,Wasser,"SEE965606617895, SEE969167735944",Höchstädt M2,Volleinspeisung,5000,89420,Dillingen a.d. Donau,Höchstädt,Wertinger Straße,28 a,Bayern,10.582656,48.603538,1982,NA,FALSE,Höchstädt,Laufwasseranlage,NA
SEE922767690112,ABR921440481122,Wasser,"SEE922767690112, SEE912827261192",Oberpeiching M1,Teileinspeisung (einschließlich Eigenverbrauch),6150,86698,Donau-Ries,Oberndorf,NA,NA,Bayern,10.878493,48.646414,1954,NA,FALSE,Oberpeiching,Laufwasseranlage,NA
SEE912827261192,ABR921440481122,Wasser,"SEE922767690112, SEE912827261192",Oberpeiching M2,Teileinspeisung (einschließlich Eigenverbrauch),6150,86698,Donau-Ries,Oberndorf,NA,NA,Bayern,10.878493,48.646414,1954,NA,FALSE,Oberpeiching,Laufwasseranlage,NA
SEE950641511031,ABR921440481122,Wasser,"SEE950641511031, SEE971021553687",Rain M1,Volleinspeisung,5600,86641,Donau-Ries,Rain,Kraftwerkstraße,21,Bayern,10.897772,48.692522,1956,NA,FALSE,Rain,Laufwasseranlage,NA
SEE971021553687,ABR921440481122,Wasser,"SEE950641511031, SEE971021553687",Rain M2,Volleinspeisung,5600,86641,Donau-Ries,Rain,Kraftwerkstraße,21,Bayern,10.897772,48.692522,1955,NA,FALSE,Rain,Laufwasseranlage,NA
SEE958143966052,ABR921440481122,Wasser,"SEE958143966052, SEE970662273428",Feldheim M1,Volleinspeisung,4250,86694,Donau-Ries,Niederschönenfeld,NA,NA,Bayern,10.922256,48.727945,1960,NA,FALSE,Feldheim,Laufwasseranlage,NA
SEE970662273428,ABR921440481122,Wasser,"SEE958143966052, SEE970662273428",Feldheim M2,Teileinspeisung (einschließlich Eigenverbrauch),4250,86694,Donau-Ries,Niederschönenfeld,NA,NA,Bayern,10.922256,48.727945,1960,NA,FALSE,Feldheim,Laufwasseranlage,NA
SEE982012221850,ABR921440481122,Wasser,"SEE982012221850, SEE923015194116",Dillingen M1,Volleinspeisung,3700,89407,Dillingen a.d. Donau,Dillingen,Inselwörth,1,Bayern,10.489529,48.567712,1981,NA,FALSE,Dillingen,Laufwasseranlage,NA
SEE923015194116,ABR921440481122,Wasser,"SEE982012221850, SEE923015194116",Dillingen M2,Volleinspeisung,3700,89407,Dillingen a.d. Donau,Dillingen,Inselwörth,1,Bayern,10.49,48.568,1981,NA,FALSE,Dillingen,Laufwasseranlage,NA
SEE940295005505,ABR921440481122,Wasser,"SEE940295005505, SEE920350961595",Schwenningen M1,Volleinspeisung,4300,89443,Dillingen a.d. Donau,Schwenningen,Riedstraße,4 a,Bayern,10.675,48.645,1983,NA,FALSE,Schwenningen,Laufwasseranlage,NA
SEE920350961595,ABR921440481122,Wasser,"SEE940295005505, SEE920350961595",Schwenningen M2,Volleinspeisung,4300,89443,Dillingen a.d. Donau,Schwenningen,Riedstraße,4 a,Bayern,10.675,48.645,1983,NA,FALSE,Schwenningen,Laufwasseranlage,NA
SEE964433342024,ABR921440481122,Wasser,"SEE964433342024, SEE970949606178",Donauwörth M1,Volleinspeisung,4250,86609,Donau-Ries,Donauwörth,Am Kesseldamm,2,Bayern,10.77,48.7,1984,NA,FALSE,Donauwörth,Laufwasseranlage,NA
SEE970949606178,ABR921440481122,Wasser,"SEE964433342024, SEE970949606178",Donauwörth M2,Volleinspeisung,4250,86609,Donau-Ries,Donauwörth,Am Kesseldamm,2,Bayern,10.77,48.7,1984,NA,FALSE,Donauwörth,Laufwasseranlage,NA
SEE943181515102,ABR921440481122,Wasser,"SEE943181515102, SEE962922475031, SEE978382998973",Meitingen M1,Volleinspeisung,4210,86405,Augsburg,Meitingen,Bernhard-Monath-Straße,46,Bayern,10.865,48.547,1922,NA,FALSE,Meitingen,Laufwasseranlage,NA
SEE962922475031,ABR921440481122,Wasser,"SEE943181515102, SEE962922475031, SEE978382998973",Meitingen M2,Volleinspeisung,4210,86405,Augsburg,Meitingen,Bernhard-Monath-Straße,46,Bayern,10.865,48.547,1922,NA,FALSE,Meitingen,Laufwasseranlage,NA
SEE978382998973,ABR921440481122,Wasser,"SEE943181515102, SEE962922475031, SEE978382998973",Meitingen M3,Volleinspeisung,4210,86405,Augsburg,Meitingen,Bernhard-Monath-Straße,46,Bayern,10.865,48.547,1922,NA,FALSE,Meitingen,Laufwasseranlage,NA
SEE954573036662,NA,Wasser,"SEE954573036662, SEE963615482282, SEE917001338059",WKA Steinhelle I (M1),Volleinspeisung,1750,59939,Hochsauerlandkreis,Olsberg,Talstraße,60,Nordrhein-Westfalen,8.486,51.344,1939,2020,TRUE,WKA Steinhelle I,Laufwasseranlage,NA
SEE963615482282,ABR965117304406,Wasser,"SEE954573036662, SEE963615482282, SEE917001338059",WKA Steinhelle I (M2),Volleinspeisung,1225,59939,Hochsauerlandkreis,Olsberg,Talstraße,60,Nordrhein-Westfalen,8.486,51.344,1928,NA,FALSE,WKA Steinhelle I,Laufwasseranlage,NA
SEE952242150978,ABR915068942295,Wasser,"SEE952242150978, SEE944923156256, SEE989300885374, SEE964658207085",WKW Unteropfingen M1,Teileinspeisung (einschließlich Eigenverbrauch),3325,88457,Biberach,Kirchdorf,Kraftwerkstraße,NA,Baden-Württemberg,10.12884,48.0632,1924,NA,FALSE,NA,Laufwasseranlage,NA
SEE951711414108,ABR976468898247,Wasser,SEE951711414108,Wasserkraftwerk Eberbach Itterkraftwerk,Volleinspeisung,1100,69412,Rhein-Neckar-Kreis,Eberbach,Schweizer Wehr,8,Baden-Württemberg,8.996684,49.478325,2000,NA,FALSE,NA,Speicherwasseranlage,NA
SEE927801150010,ABR949153948510,Wasser,"SEE927801150010, SEE946683293844",WWS Conradty OW Generator 1,Volleinspeisung,1200,83059,Rosenheim,Kolbermoor,Conradtystraße,27a,Bayern,12.040618,47.849008,1996,NA,FALSE,WWS Conradty OW,Laufwasseranlage,NA
SEE960078603339,ABR941179943845,Wasser,SEE960078603339,Kraftwerke Angermühle,Volleinspeisung,1790,83352,Traunstein,Altenmarkt,Angermühle,1 -5,Bayern,12.531514,48.002646,2008,NA,FALSE,NA,Laufwasseranlage,NA
SEE907206914165,ABR921440481122,Wasser,"SEE907206914165, SEE973631938410, SEE969329179456, SEE967362636714",Steinbach M1,Teileinspeisung (einschließlich Eigenverbrauch),1320,87764,Unterallgäu,Legau,NA,NA,Bayern,10.14103,47.895053,2019,NA,FALSE,Steinbach,Laufwasseranlage,NA
SEE973631938410,ABR921440481122,Wasser,"SEE907206914165, SEE973631938410, SEE969329179456, SEE967362636714",Steinbach M2,Teileinspeisung (einschließlich Eigenverbrauch),1220,87764,Unterallgäu,Legau,Illerstraße,40,Bayern,10.14103,47.895053,1938,NA,FALSE,Steinbach,Laufwasseranlage,NA
SEE969329179456,ABR921440481122,Wasser,"SEE907206914165, SEE973631938410, SEE969329179456, SEE967362636714",Steinbach M3,Teileinspeisung (einschließlich Eigenverbrauch),1220,87764,Unterallgäu,Legau,Illerstraße,40,Bayern,10.14103,47.895053,1938,NA,FALSE,Steinbach,Laufwasseranlage,NA
SEE967362636714,ABR921440481122,Wasser,"SEE907206914165, SEE973631938410, SEE969329179456, SEE967362636714",Steinbach M4,Teileinspeisung (einschließlich Eigenverbrauch),1190,87764,Unterallgäu,Legau,Illerstraße,40,Bayern,10.14103,47.895053,1938,NA,FALSE,Steinbach,Laufwasseranlage,NA
SEE967349265258,ABR921440481122,Wasser,"SEE967349265258, SEE931263948993, SEE915286512409, SEE984930037421",Lautrach M1,Teileinspeisung (einschließlich Eigenverbrauch),1230,87763,Unterallgäu,Lautrach,Am Stausee,2,Bayern,10.10975,47.91878,1986,NA,FALSE,Lautrach,Laufwasseranlage,NA
SEE931263948993,ABR921440481122,Wasser,"SEE967349265258, SEE931263948993, SEE915286512409, SEE984930037421",Lautrach M2,Teileinspeisung (einschließlich Eigenverbrauch),1130,87763,Unterallgäu,Lautrach,Am Stausee,2,Bayern,10.10975,47.91878,1948,NA,FALSE,Lautrach,Laufwasseranlage,NA
SEE915286512409,ABR921440481122,Wasser,"SEE967349265258, SEE931263948993, SEE915286512409, SEE984930037421",Lautrach M3,Teileinspeisung (einschließlich Eigenverbrauch),1130,87763,Unterallgäu,Lautrach,Am Stausee,2,Bayern,10.10975,47.91878,1948,NA,FALSE,Lautrach,Laufwasseranlage,NA
SEE984930037421,ABR921440481122,Wasser,"SEE967349265258, SEE931263948993, SEE915286512409, SEE984930037421",Lautrach M4,Teileinspeisung (einschließlich Eigenverbrauch),1100,87763,Unterallgäu,Lautrach,Am Stausee,2,Bayern,10.10975,47.91878,1948,NA,FALSE,Lautrach,Laufwasseranlage,NA
SEE923922739561,ABR915068942295,Wasser,"SEE923922739561, SEE954178233008",Oberelchingen M1,Teileinspeisung (einschließlich Eigenverbrauch),4675,89278,Neu-Ulm,Nersingen,NA,NA,Bayern,10.108527,48.439202,1961,NA,FALSE,Oberelchingen,Laufwasseranlage,NA
SEE954178233008,ABR915068942295,Wasser,"SEE923922739561, SEE954178233008",Oberelchingen M2,Teileinspeisung (einschließlich Eigenverbrauch),4675,89278,Neu-Ulm,Nersingen,NA,NA,Bayern,10.108527,48.439202,1960,NA,FALSE,Oberelchingen,Laufwasseranlage,NA
SEE902057423743,ABR915068942295,Wasser,"SEE902057423743, SEE979702214278",Leipheim M1,Teileinspeisung (einschließlich Eigenverbrauch),4685,89340,Günzburg,Leipheim,NA,NA,Bayern,10.194315,48.444027,1961,NA,FALSE,Leipheim,Laufwasseranlage,NA
SEE979702214278,ABR915068942295,Wasser,"SEE902057423743, SEE979702214278",Leipheim M2,Teileinspeisung (einschließlich Eigenverbrauch),4685,89340,Günzburg,Leipheim,NA,NA,Bayern,10.194315,48.444027,1962,NA,FALSE,Leipheim,Laufwasseranlage,NA
SEE936392641883,ABR915068942295,Wasser,"SEE936392641883, SEE974502359259",Günzburg M1,Teileinspeisung (einschließlich Eigenverbrauch),4500,89312,Günzburg,Günzburg,Am Donaukraftwerk,21,Bayern,10.265039,48.45996,1962,NA,FALSE,Günzburg,Laufwasseranlage,NA
SEE974502359259,ABR915068942295,Wasser,"SEE936392641883, SEE974502359259",Günzburg M2,Teileinspeisung (einschließlich Eigenverbrauch),4500,89312,Günzburg,Günzburg,Am Donaukraftwerk,21,Bayern,10.265039,48.45996,1962,NA,FALSE,Günzburg,Laufwasseranlage,NA
SEE906267306926,ABR915068942295,Wasser,"SEE906267306926, SEE966555726904",Offingen M1,Teileinspeisung (einschließlich Eigenverbrauch),3675,89362,Günzburg,Offingen,NA,NA,Bayern,10.33765,48.48509,1963,NA,FALSE,Offingen,Laufwasseranlage,NA
SEE966555726904,ABR915068942295,Wasser,"SEE906267306926, SEE966555726904",Offingen M2,Teileinspeisung (einschließlich Eigenverbrauch),3675,89362,Günzburg,Offingen,NA,NA,Bayern,10.33765,48.48509,1963,NA,FALSE,Offingen,Laufwasseranlage,NA
SEE953247868998,ABR915068942295,Wasser,"SEE953247868998, SEE969162503395",Gundelfingen M1,Teileinspeisung (einschließlich Eigenverbrauch),3675,89423,Dillingen a.d. Donau,Gundelfingen,NA,NA,Bayern,10.384698,48.505652,1964,NA,FALSE,Gundelfingen,Laufwasseranlage,NA
SEE969162503395,ABR915068942295,Wasser,"SEE953247868998, SEE969162503395",Gundelfingen M2,Teileinspeisung (einschließlich Eigenverbrauch),3675,89423,Dillingen a.d. Donau,Gundelfingen,NA,NA,Bayern,10.384698,48.505652,1964,NA,FALSE,Gundelfingen,Laufwasseranlage,NA
SEE903626449133,ABR915068942295,Wasser,"SEE903626449133, SEE909482931270",Faimingen M1,Teileinspeisung (einschließlich Eigenverbrauch),5050,89415,Dillingen a.d. Donau,Lauingen,Römerstraße,1,Bayern,10.411241,48.558574,1965,NA,FALSE,Faimingen,Laufwasseranlage,NA
SEE909482931270,ABR915068942295,Wasser,"SEE903626449133, SEE909482931270",Faimingen M2,Teileinspeisung (einschließlich Eigenverbrauch),5050,89415,Dillingen a.d. Donau,Lauingen,Römerstraße,1,Bayern,10.411241,48.558574,1965,NA,FALSE,Faimingen,Laufwasseranlage,NA
SEE934039077637,ABR921440481122,Wasser,"SEE934039077637, SEE973496721325, SEE989756000338, SEE976533716001, SEE924793743626",Gersthofen M1,Teileinspeisung (einschließlich Eigenverbrauch),1974,86368,Augsburg,Gersthofen,Adolf-von-Baeyer-Straße,1,Bayern,10.88511,48.446018,1901,NA,FALSE,Gersthofen,Laufwasseranlage,NA
SEE973496721325,ABR921440481122,Wasser,"SEE934039077637, SEE973496721325, SEE989756000338, SEE976533716001, SEE924793743626",Gersthofen M2,Teileinspeisung (einschließlich Eigenverbrauch),1974,86368,Augsburg,Gersthofen,Adolf-von-Baeyer-Straße,1,Bayern,10.88511,48.446018,1901,NA,FALSE,Gersthofen,Laufwasseranlage,NA
SEE989756000338,ABR921440481122,Wasser,"SEE934039077637, SEE973496721325, SEE989756000338, SEE976533716001, SEE924793743626",Gersthofen M3,Teileinspeisung (einschließlich Eigenverbrauch),1974,86368,Augsburg,Gersthofen,Adolf-von-Baeyer-Straße,1,Bayern,10.88511,48.446018,1901,NA,FALSE,Gersthofen,Laufwasseranlage,NA
SEE976533716001,ABR921440481122,Wasser,"SEE934039077637, SEE973496721325, SEE989756000338, SEE976533716001, SEE924793743626",Gersthofen M4,Teileinspeisung (einschließlich Eigenverbrauch),1974,86368,Augsburg,Gersthofen,Adolf-von-Baeyer-Straße,1,Bayern,10.88511,48.446018,1901,NA,FALSE,Gersthofen,Laufwasseranlage,NA
SEE967558939506,ABR920411149450,Wasser,"SEE967558939506, SEE901604837408, SEE935602197158, SEE985755138850, SEE948936460041, SEE961245060139, SEE915246106037, SEE905826160993",Saalachkraftwerk E1,Volleinspeisung,1280,83435,Berchtesgadener Land,Bad Reichenhall,Thumseestraße,25,Bayern,12.863147,47.718211,1914,NA,FALSE,NA,Laufwasseranlage,NA
