nr_MASTR,nr_betreiber,energie_type,verknuepfte_einheiten,name,einspeisung,leistung_brutto,plz,landkreis,ort,strasse,hausnummer,bundesland,laenge,breite,jahr_inbetriebnahme,jahr_stillgelegt,stillgelegt,name_KW,energietraeger,nr_KW
SEE911869851446,ABR989228118929,Wasser,"SEE961721463447, SEE986717695909, SEE911869851446, SEE921533796287",WKW Pleidelsheim Turbine 3,Volleinspeisung,1100,74385,Ludwigsburg,Pleidelsheim,An der Mundelsheimer Str.,NA,Baden-Württemberg,9.202174,48.970201,1915,NA,FALSE,WKW Pleidelsheim,Laufwasseranlage,NA
SEE921533796287,ABR989228118929,Wasser,"SEE961721463447, SEE986717695909, SEE911869851446, SEE921533796287",WKW Pleidelsheim Turbine 4,Volleinspeisung,1100,74385,Ludwigsburg,Pleidelsheim,An der Mundelsheimer Str.,NA,Baden-Württemberg,9.202174,48.970201,1915,NA,FALSE,WKW Pleidelsheim,Laufwasseranlage,NA
SEE944905384776,ABR989228118929,Wasser,SEE944905384776,Wasserkraftwerk Cramberg,Volleinspeisung,3630,65558,Rhein-Lahn-Kreis,Cramberg,Am Kraftwerk,0,Rheinland-Pfalz,7.950302,50.337274,1926,NA,FALSE,NA,Laufwasseranlage,NA
SEE997960181545,ABR943890275502,Wasser,SEE997960181545,Kraftwerk Kahlenberg Generator 2,Teileinspeisung (einschließlich Eigenverbrauch),2300,45468,Mülheim an der Ruhr,Mülheim,Ruhrinselweg,1,Nordrhein-Westfalen,6.875457,51.421685,1989,NA,FALSE,Kraftwerk Kahlenberg,Laufwasseranlage,NA
SEE923086225696,ABR943890275502,Wasser,SEE923086225696,Kraftwerk Kahlenberg Generator 3,Teileinspeisung (einschließlich Eigenverbrauch),3000,45479,Mülheim an der Ruhr,Mülheim,Ruhrinselweg,1,Nordrhein-Westfalen,6.875478,51.42164,2000,NA,FALSE,Kraftwerk Kahlenberg,Laufwasseranlage,NA
SEE903247354816,ABR989228118929,Wasser,SEE903247354816,Wasserkraftwerk Kalkofen,Volleinspeisung,1728,56379,Rhein-Lahn-Kreis,Dörnberg,Lahnstraße,NA,Rheinland-Pfalz,7.896656,50.313008,1955,NA,FALSE,Wasserkraftwerk Kalkofen,Laufwasseranlage,NA
SEE999978461985,ABR989228118929,Wasser,SEE999978461985,Wasserkraftwerk Nassau,Volleinspeisung,1400,56377,Rhein-Lahn-Kreis,Nassau,Koppelheck,NA,Rheinland-Pfalz,7.787703,50.316512,1985,NA,FALSE,Wasserkraftwerk Nassau,Laufwasseranlage,NA
SEE936951085240,ABR989228118929,Wasser,SEE936951085240,Wasserkraftwerk Dausenau,Volleinspeisung,1400,56132,Rhein-Lahn-Kreis,Dausenau,An der Schleuse,NA,Rheinland-Pfalz,7.744362,50.320872,1986,NA,FALSE,Wasserkraftwerk Dausenau,Laufwasseranlage,NA
SEE976649073463,ABR989228118929,Wasser,SEE976649073463,Wasserkraftwerk Lahnstein,Volleinspeisung,1728,56112,Rhein-Lahn-Kreis,Lahnstein,Hohenrhein,NA,Rheinland-Pfalz,7.617079,50.307416,1957,NA,FALSE,Wasserkraftwerk Lahnstein,Laufwasseranlage,NA
SEE974692629507,ABR989228118929,Wasser,SEE974692629507,Wasserkraftwerk Altwied,Volleinspeisung,1200,56567,Neuwied,Neuwied,Im Wiedtal,NA,Rheinland-Pfalz,7.471168,50.482558,1912,NA,FALSE,Wasserkraftwerk Altwied,Laufwasseranlage,NA
SEE901119308769,ABR914764874992,Wasser,"SEE901119308769, SEE978220018726, SEE904144531522, SEE903345407018",Viereth K1,Volleinspeisung,2900,96191,Bamberg,Viereth-Trunstadt,Schleuse,3,Bayern,10.7875,49.9249,2007,NA,FALSE,NA,Laufwasseranlage,NA
SEE978220018726,ABR914764874992,Wasser,"SEE901119308769, SEE978220018726, SEE904144531522, SEE903345407018",Viereth F1,Volleinspeisung,1100,96191,Bamberg,Viereth-Trunstadt,Schleuse,3,Bayern,10.7875,49.9249,1983,NA,FALSE,NA,Laufwasseranlage,NA
SEE904144531522,ABR914764874992,Wasser,"SEE901119308769, SEE978220018726, SEE904144531522, SEE903345407018",Viereth F2,Volleinspeisung,1100,96191,Bamberg,Viereth-Trunstadt,Schleuse,3,Bayern,10.7875,49.9249,1983,NA,FALSE,NA,Laufwasseranlage,NA
SEE903345407018,ABR914764874992,Wasser,"SEE901119308769, SEE978220018726, SEE904144531522, SEE903345407018",Viereth F3,Volleinspeisung,1100,96191,Bamberg,Viereth-Trunstadt,Schleuse,3,Bayern,10.7875,49.9249,1983,NA,FALSE,NA,Laufwasseranlage,NA
SEE917162985055,ABR952797902978,Wasser,SEE917162985055,Wasserkraftwerk Griesheim,Teileinspeisung (einschließlich Eigenverbrauch),6000,60529,Frankfurt am Main,Frankfurt,An der Staustufe,5a,Hessen,8.599441,50.088595,1933,NA,FALSE,Wasserkraftwerk Griesheim,Laufwasseranlage,NA
SEE934726768800,ABR952797902978,Wasser,SEE934726768800,Wasserkraftwerk Eddersheim,Volleinspeisung,5400,65451,Groß-Gerau,Kelsterbach,NA,NA,Hessen,8.47633,50.039265,1941,NA,FALSE,Wasserkraftwerk Eddersheim,Laufwasseranlage,NA
SEE942923924141,ABR915078705217,Wasser,"SEE942923924141, SEE994326672372",WasserKraft Möhne HKW(A) M1,Teileinspeisung (einschließlich Eigenverbrauch),2500,59519,Soest,Möhnesee,Brüningser Straße,901 Z,Nordrhein-Westfalen,8.054345,51.490398,1913,NA,FALSE,WasserKraft Möhne HKW(A) M1,Speicherwasseranlage,NA
SEE994326672372,ABR915078705217,Wasser,"SEE942923924141, SEE994326672372",WasserKraft Möhne HKW(A) M2,Teileinspeisung (einschließlich Eigenverbrauch),2500,59519,Soest,Möhnesee,Brüningser Straße,901 Z,Nordrhein-Westfalen,8.054345,51.490398,1913,NA,FALSE,WasserKraft Möhne HKW(A) M2,Speicherwasseranlage,NA
