nr_MASTR,nr_betreiber,energie_type,verknuepfte_einheiten,name,einspeisung,leistung_brutto,plz,landkreis,ort,strasse,hausnummer,bundesland,laenge,breite,jahr_inbetriebnahme,jahr_stillgelegt,stillgelegt,energietraeger,name_KW,nr_KW
SEE907494664452,ABR925922358452,Stromspeichereinheit,SEE907494664452,Speicher Winterbach III - P22-260,Volleinspeisung,3750,89368,Günzburg,Winterbach,NA,NA,Bayern,10.520801,48.465511,2028,NA,FALSE,Batterie,NA,NA
SEE903321442613,ABR937117976556,Stromspeichereinheit,SEE903321442613,BESS Konradsreuth,Volleinspeisung,6580,95176,Hof,Konradsreuth,NA,NA,Bayern,11.8759,50.27748,2027,NA,FALSE,Batterie,NA,NA
SEE948849620143,ABR943718085122,Stromspeichereinheit,SEE948849620143,BESS Förstenreuth II,Volleinspeisung,3980,95239,Hof,Zell,NA,NA,Bayern,11.777782,50.142098,2027,NA,FALSE,Batterie,NA,NA
SEE979476263335,ABR934569427995,Stromspeichereinheit,NA,BESS Wadg,NA,5000,66787,Saarlouis,Wadgassen,Wendelstraße,NA,Saarland,6.798959,49.260437,2026,NA,FALSE,Batterie,NA,NA
SEE983075526197,ABR969440732721,Stromspeichereinheit,SEE983075526197,Speicher Gachenbach PR II - P26-076,Volleinspeisung,6250,86565,Neuburg-Schrobenhausen,Gachenbach,NA,NA,Bayern,11.248947,48.510074,2028,NA,FALSE,Batterie,NA,NA
SEE963178717838,ABR993904967541,Stromspeichereinheit,NA,Thale59,Volleinspeisung,17500,06502,Harz,Thale,Roßtrappenstraße,59,Sachsen-Anhalt,11.025176,51.753943,2027,NA,FALSE,Batterie,NA,NA
SEE933933692007,ABR903689191277,Stromspeichereinheit,SEE933933692007,BE Eitzing Speicher,NA,5000,84431,Mühldorf a. Inn,Rattenkirchen,NA,NA,Bayern,12.3233,48.22413,2026,NA,FALSE,Batterie,NA,NA
SEE980989554322,ABR921472850279,Stromspeichereinheit,NA,Graustromspeicher Jungensberg,Volleinspeisung,2000,88167,Lindau (Bodensee),Stiefenhofen,Jungensberg,11/2,Bayern,10.018891,47.601976,2026,NA,FALSE,Batterie,NA,NA
SEE967706303999,ABR922051851120,Stromspeichereinheit,NA,Mando Multiwerke 10 - Speicher Königsborn,Volleinspeisung,4000,39175,Jerichower Land,Biederitz,NA,NA,Sachsen-Anhalt,11.776555,52.132289,2026,NA,FALSE,Batterie,NA,NA
SEE951788049258,ABR997459884193,Stromspeichereinheit,SEE951788049258,Solarpark Ingolstadt X - P25-208,Volleinspeisung,1250,85053,Ingolstadt,Ingolstadt,NA,NA,Bayern,11.460193,48.744075,2028,NA,FALSE,Batterie,NA,NA
