nr_MASTR,nr_betreiber,energie_type,verknuepfte_einheiten,name,einspeisung,leistung_brutto,plz,landkreis,ort,strasse,hausnummer,bundesland,laenge,breite,jahr_inbetriebnahme,jahr_stillgelegt,stillgelegt,energietraeger,name_KW,nr_KW
SEE960951557490,NA,Stromspeichereinheit,SEE960951557490,Speicher,NA,2500,25335,Pinneberg,Bokholt-Hanredder,Bahnhofstraße,13,Schleswig-Holstein,9.735,53.79,1923,2019,TRUE,Batterie,NA,NA
SEE938534551104,ABR989859343004,Stromspeichereinheit,NA,Bocholt Speicher,Teileinspeisung (einschließlich Eigenverbrauch),1125,46395,Borken,Bocholt,Alfred-Flender-Straße,77,Nordrhein-Westfalen,6.608,51.823,2016,NA,FALSE,Batterie,NA,NA
SEE972894381872,NA,Stromspeichereinheit,SEE972894381872,Homert 01,Teileinspeisung (einschließlich Eigenverbrauch),2500,59889,Hochsauerlandkreis,Eslohe,NA,NA,Nordrhein-Westfalen,NA,NA,2014,2019,TRUE,Batterie,NA,NA
SEE911690715313,ABR974239102593,Stromspeichereinheit,NA,Batteriespeicher Wernau,Volleinspeisung,2600,73249,Esslingen,Wernau,Junkersstraße,20,Baden-Württemberg,9.421,48.688,2017,NA,FALSE,Batterie,NA,NA
SEE966505165425,ABR974239102593,Stromspeichereinheit,NA,Batteriespeicher Heilbronn,Volleinspeisung,5200,74076,Heilbronn,Heilbronn,Lichtenbergerstraße,23,Baden-Württemberg,9.209,49.173,2018,NA,FALSE,Batterie,NA,NA
SEE943208281096,ABR921440481122,Stromspeichereinheit,NA,Rain BS1,Teileinspeisung (einschließlich Eigenverbrauch),1500,86641,Donau-Ries,Rain,Kraftwerkstraße,21,Bayern,10.897772,48.692522,2019,NA,FALSE,Batterie,NA,NA
SEE953508633730,ABR999401230768,Stromspeichereinheit,NA,SWM Leitzach 2 M21,Teileinspeisung (einschließlich Eigenverbrauch),22000,83620,Rosenheim,Feldkirchen-Westerham,Leitzachwerkstraße,50,Bayern,11.871,47.874,1984,NA,FALSE,Pumpspeicher,NA,NA
SEE913862454280,ABR901047920507,Stromspeichereinheit,NA,Hybridregelkraftwerk,Volleinspeisung,18000,28207,Bremen,Bremen,Hastedter Osterdeich,255,Bremen,8.874096,53.058934,2019,NA,FALSE,Batterie,NA,NA
SEE958562019667,NA,Stromspeichereinheit,NA,FutureEnergySolution,Teileinspeisung (einschließlich Eigenverbrauch),1400,21129,Hamburg,Hamburg,Vollhöfner Weiden,18,Hamburg,9.894684,53.506271,2019,2022,TRUE,Batterie,NA,NA
SEE949701129095,ABR907152889371,Stromspeichereinheit,NA,T 14 PSKW Kirchentellinsfurt,Volleinspeisung,1300,72138,Tübingen,Kirchentellinsfurt,Tübinger Straße,41,Baden-Württemberg,9.138454,48.545156,1926,NA,FALSE,Pumpspeicher,NA,NA
SEE907703023742,ABR908281121257,Stromspeichereinheit,NA,IKW Batteriespeicher,Teileinspeisung (einschließlich Eigenverbrauch),1080,15890,Oder-Spree,Eisenhüttenstadt,Jugendstraße,1,Brandenburg,14.632419,52.163396,2014,NA,FALSE,Batterie,NA,NA
SEE985288982944,ABR917550078642,Stromspeichereinheit,NA,ESS_EUREF-CAMPUS,Volleinspeisung,1250,10829,Berlin,Berlin,EUREF-Campus,9,Berlin,13.356239,52.481808,2019,NA,FALSE,Batterie,NA,NA
SEE995541369856,ABR903690099142,Stromspeichereinheit,NA,Batteriespeicher Gödenroth,Volleinspeisung,1250,56290,Rhein-Hunsrück-Kreis,Gödenroth,An der Trift,NA,Rheinland-Pfalz,7.498412,50.086232,2018,NA,FALSE,Batterie,NA,NA
SEE926367113644,ABR915068942295,Stromspeichereinheit,NA,Obervermuntwerk II Maschine 1 Turbine,Volleinspeisung,190000,A-6794,NA,Partenen,Silvretta Hochalpenstrasse,NA,NA,10.05995,46.93529,2018,NA,FALSE,Pumpspeicher,NA,NA
SEE905032397701,ABR977072703385,Stromspeichereinheit,NA,BAT WÖL,Volleinspeisung,4800,01665,Meißen,Diera-Zehren,NA,NA,Sachsen,13.343956,51.214239,2018,NA,FALSE,Batterie,NA,NA
SEE984944424651,ABR915068942295,Stromspeichereinheit,NA,Obervermuntwerk II Maschine 2 Turbine,Volleinspeisung,190000,A-6794,NA,Partenen,Silvretta Hochalpenstrasse,NA,NA,10.05995,46.93529,2018,NA,FALSE,Pumpspeicher,NA,NA
SEE973585970962,ABR977223013417,Stromspeichereinheit,NA,Batteriespeicher W2G,Volleinspeisung,2000,25541,Dithmarschen,Brunsbüttel,NA,NA,Schleswig-Holstein,9.19409,53.910335,2017,NA,FALSE,Batterie,NA,NA
SEE911836897996,ABR982105583193,Stromspeichereinheit,NA,Batteriespeicher Herdecke,Volleinspeisung,6250,58313,Ennepe-Ruhr-Kreis,Herdecke,Im Schiffwinkel,43,Nordrhein-Westfalen,7.45422,51.41129,2017,NA,FALSE,Batterie,NA,NA
SEE961724289518,NA,Stromspeichereinheit,NA,Speicherkraftwerk Kolitzheim,NA,3200,97509,Schweinfurt,Kolitzheim,NA,NA,Bayern,10.240278,49.912778,2016,2025,TRUE,Batterie,NA,NA
SEE955166555447,ABR998956874250,Stromspeichereinheit,NA,Speicherkraftwerk Wildflecken,Volleinspeisung,2250,97772,Bad Kissingen,Wildflecken,NA,NA,Bayern,9.936667,50.376111,2017,NA,FALSE,Batterie,NA,NA
SEE900291433160,ABR917063786638,Stromspeichereinheit,NA,Hybridspeicher AU,Volleinspeisung,16000,87477,Oberallgäu,Sulzberg,Au,7,Bayern,10.32208,47.685476,2018,NA,FALSE,Batterie,NA,NA
SEE932484697615,ABR999401230768,Stromspeichereinheit,NA,SWM Leitzach 2 M22,Teileinspeisung (einschließlich Eigenverbrauch),22000,83620,Rosenheim,Feldkirchen-Westerham,Leitzachwerkstraße,50,Bayern,11.871,47.874,1960,NA,FALSE,Pumpspeicher,NA,NA
SEE967069763799,ABR999401230768,Stromspeichereinheit,NA,SWM Leitzach 1 M11,Teileinspeisung (einschließlich Eigenverbrauch),48000,83620,Rosenheim,Feldkirchen-Westerham,Leitzachwerkstraße,50,Bayern,11.871,47.874,1984,NA,FALSE,Pumpspeicher,NA,NA
SEE905242636829,ABR921311094093,Stromspeichereinheit,NA,Batteriespeicher Garching Römerhofweg,Volleinspeisung,1442,85748,München,Garching,NA,NA,Bayern,11.6607,48.25963,2017,NA,FALSE,Batterie,NA,NA
SEE915286783892,ABR921665486551,Stromspeichereinheit,NA,Batteriespeicher Braderup,Volleinspeisung,2000,25923,Nordfriesland,Braderup,Lundsacker Weg,12a,Schleswig-Holstein,8.897112,54.832373,2015,NA,FALSE,Batterie,NA,NA
SEE934309192626,ABR988666610835,Stromspeichereinheit,NA,PSW Geesthacht PSS A,Volleinspeisung,40000,21502,Herzogtum Lauenburg,Geesthacht,Elbuferstraße,49,Schleswig-Holstein,10.394,53.419,1958,NA,FALSE,Pumpspeicher,NA,NA
SEE989415663904,ABR937505471571,Stromspeichereinheit,NA,BES LRB,Volleinspeisung,7300,04862,Nordsachsen,Mockrehna,Wildschützer Straße,999 x,Sachsen,12.897686,51.491738,2018,NA,FALSE,Batterie,NA,NA
SEE908200741672,ABR937505471571,Stromspeichereinheit,NA,BES LRB 2,Volleinspeisung,9125,04862,Nordsachsen,Mockrehna,Wildschützer Straße,999 y,Sachsen,12.897767,51.491928,2018,NA,FALSE,Batterie,NA,NA
SEE963081865633,ABR921213385473,Stromspeichereinheit,NA,BES BEN,Volleinspeisung,16425,04828,Leipzig,Bennewitz,Parkstraße,2,Sachsen,12.70713,51.356015,2018,NA,FALSE,Batterie,NA,NA
SEE976362409624,ABR976700826632,Stromspeichereinheit,NA,BES GRO,Volleinspeisung,17250,04539,Leipzig,Groitzsch,Luckaer Straße,29 z,Sachsen,12.293085,51.140876,2019,NA,FALSE,Batterie,NA,NA
SEE953605889740,ABR901203303755,Stromspeichereinheit,NA,Batteriespeicher Herrenhausen,Volleinspeisung,14000,30419,Region Hannover,Hannover,Leinhäuser Weg,5,Niedersachsen,9.681854,52.398519,2017,NA,FALSE,Batterie,NA,NA
SEE901763599254,ABR907212965823,Stromspeichereinheit,NA,"Stromspeicher 2,5 MW Bautzen",NA,2000,02625,Bautzen,Bautzen,Schliebenstraße,18,Sachsen,14.415262,51.18081,2018,NA,FALSE,Batterie,NA,NA
SEE993997172082,ABR986251713824,Stromspeichereinheit,NA,Stromspeicher BeSSY Aub - 2.500 kW,NA,2500,97239,Würzburg,Aub,Industriestraße,2,Bayern,10.051955,49.55176,2017,NA,FALSE,Batterie,NA,NA
SEE962764296498,ABR916120431191,Stromspeichereinheit,NA,Wittstock,Volleinspeisung,1600,16909,Ostprignitz-Ruppin,Wittstock,NA,NA,Brandenburg,12.524777,53.199592,2014,NA,FALSE,Batterie,NA,NA
SEE902511338712,ABR951531367424,Stromspeichereinheit,NA,Neuhardenberg,Volleinspeisung,5000,15320,Märkisch-Oderland,Neuhardenberg,Oderbruchstr. 20a,NA,Brandenburg,14.244593,52.617101,2015,NA,FALSE,Batterie,NA,NA
SEE966091400436,ABR922907721966,Stromspeichereinheit,NA,Q_ESS_Elverlingsen,Volleinspeisung,17080,58791,Märkischer Kreis,Werdohl,Auf der Mark,1,Nordrhein-Westfalen,7.704284,51.27486,2017,NA,FALSE,Batterie,NA,NA
SEE905490507995,ABR922907721966,Stromspeichereinheit,NA,Q_ESS_Luenen,Volleinspeisung,11920,44536,Unna,Lünen,Brunnenstraße,138,Nordrhein-Westfalen,7.46635,51.61662,2016,NA,FALSE,Batterie,NA,NA
SEE976927444749,ABR996025035908,Stromspeichereinheit,NA,RRKW Feldheim,Volleinspeisung,10000,14929,Potsdam-Mittelmark,Treuenbrietzen,Hinter den Gärten,15 b,Brandenburg,12.822563,52.009849,2016,NA,FALSE,Batterie,NA,NA
SEE905930139120,ABR967895852209,Stromspeichereinheit,NA,Big Battery Lausitz,Volleinspeisung,66000,03130,Spree-Neiße,Spremberg,An der alten Ziegelei,1,Brandenburg,14.348723,51.531359,2020,NA,FALSE,Batterie,NA,NA
SEE963007921467,ABR946734029859,Stromspeichereinheit,NA,AllgäuSpeicher Bruck,Volleinspeisung,1500,87541,Oberallgäu,Bad Hindelang,NA,NA,Bayern,10.384893,47.485158,2017,NA,FALSE,Batterie,NA,NA
SEE935506652999,ABR999566358659,Stromspeichereinheit,NA,Energiewende-Speicher,Volleinspeisung,11900,26316,Friesland,Varel,Oldenburger Straße,69 B,Niedersachsen,8.125477,53.375414,2018,NA,FALSE,Batterie,NA,NA
SEE931375347240,ABR930916959300,Stromspeichereinheit,NA,SMAREG 1,Volleinspeisung,10000,99867,Gotha,Gotha,NA,NA,Thüringen,10.709715,50.928557,2020,NA,FALSE,Batterie,NA,NA
SEE986418252418,ABR929322061196,Stromspeichereinheit,NA,Partition_1,Teileinspeisung (einschließlich Eigenverbrauch),3400,04349,Leipzig,Leipzig,BMW-Allee,1,Sachsen,12.448219,51.411189,2017,NA,FALSE,Batterie,NA,NA
SEE954351462355,ABR929322061196,Stromspeichereinheit,NA,Partition_2,Teileinspeisung (einschließlich Eigenverbrauch),3400,04349,Leipzig,Leipzig,BMW-Allee,1,Sachsen,12.448219,51.411189,2017,NA,FALSE,Batterie,NA,NA
SEE905647753862,ABR929322061196,Stromspeichereinheit,NA,Partition_3,Teileinspeisung (einschließlich Eigenverbrauch),3400,04349,Leipzig,Leipzig,BMW-Allee,1,Sachsen,12.448219,51.411189,2017,NA,FALSE,Batterie,NA,NA
SEE943565217936,ABR929322061196,Stromspeichereinheit,NA,Partition_4,Teileinspeisung (einschließlich Eigenverbrauch),3400,04349,Leipzig,Leipzig,BMW-Allee,1,Sachsen,12.448219,51.411189,2017,NA,FALSE,Batterie,NA,NA
SEE937501180224,ABR987308043314,Stromspeichereinheit,SEE937501180224,MEE-Projektgesellschaft 1 GmbH ＆ Co. KG Stromspeicher,Volleinspeisung,3600,01561,Meißen,Priestewitz,NA,NA,Sachsen,13.469493,51.271325,2022,NA,FALSE,Batterie,NA,NA
SEE914355585900,ABR989697632193,Stromspeichereinheit,SEE914355585900,B1 Batterien CR01,Volleinspeisung,3680,17291,Uckermark,Schenkenberg,NA,NA,Brandenburg,13.971033,53.364466,2023,NA,FALSE,Batterie,NA,NA
SEE924253067729,ABR937194923115,Stromspeichereinheit,NA,Hafenbatterie,Volleinspeisung,2000,20457,Hamburg,Hamburg,Buchheisterstraße,16,Hamburg,9.964187,53.5279,2016,NA,FALSE,Batterie,NA,NA
SEE980248054310,ABR945638489011,Stromspeichereinheit,SEE980248054310,ABO Batterie Gumpen,Teileinspeisung (einschließlich Eigenverbrauch),1500,64385,Odenwaldkreis,Reichelsheim,Hardtweg,9,Hessen,8.807806,49.698735,2023,NA,FALSE,Batterie,NA,NA
SEE985940483451,ABR999471620087,Stromspeichereinheit,NA,ABO Batterie Heimertingen,Volleinspeisung,1500,87751,Unterallgäu,Heimertingen,NA,NA,Bayern,10.157682,48.057631,2024,NA,FALSE,Batterie,NA,NA
SEE959442677670,ABR979726652810,Stromspeichereinheit,SEE959442677670,ABO Batterie Lahr,Volleinspeisung,1500,56288,Rhein-Hunsrück-Kreis,Lahr,NA,NA,Rheinland-Pfalz,7.365295,50.117891,2023,NA,FALSE,Batterie,NA,NA
SEE981067351215,ABR996401106758,Stromspeichereinheit,NA,Heizkraftwerk Leipzig Süd Schwarzstartbatterie 9C,Volleinspeisung,4000,04279,Leipzig,Leipzig,Bornaische Straße,120,Sachsen,12.38509,51.297278,2022,NA,FALSE,Batterie,NA,NA
SEE909817520346,ABR938933890415,Stromspeichereinheit,SEE909817520346,Speicher Brandscheid,Volleinspeisung,2700,54608,Eifelkreis Bitburg-Prüm,Brandscheid,NA,NA,Rheinland-Pfalz,6.304024,50.209261,2023,NA,FALSE,Batterie,NA,NA
SEE910896505094,ABR930026983264,Stromspeichereinheit,NA,Batteriespeicher PV- Anlage Hasselwerder,Volleinspeisung,1200,21129,Hamburg,Hamburg,Neuenfelder Fährdeich,88,Hamburg,9.787269,53.531392,2023,NA,FALSE,Batterie,NA,NA
SEE922338990610,ABR921226694227,Stromspeichereinheit,SEE922338990610,Batteriespeicher,Volleinspeisung,3000,78050,Schwarzwald-Baar-Kreis,Villingen-Schwenningen,NA,NA,Baden-Württemberg,8.393804,48.014767,2022,NA,FALSE,Batterie,NA,NA
SEE950941730194,ABR971927290969,Stromspeichereinheit,SEE950941730194,Batteriespeicher PV - Anlage Reckertshausen Hassberge,Teileinspeisung (einschließlich Eigenverbrauch),1450,97461,Haßberge,Hofheim,NA,NA,Bayern,10.516986,50.15628,2022,NA,FALSE,Batterie,NA,NA
SEE954562561007,ABR971927290969,Stromspeichereinheit,SEE954562561007,Batteriespeicher PV - Anlage Reckertshausen Hühnerellern,Teileinspeisung (einschließlich Eigenverbrauch),2256,97461,Haßberge,Hofheim,NA,NA,Bayern,10.508947,50.157465,2022,NA,FALSE,Batterie,NA,NA
SEE953918393026,ABR988218235882,Stromspeichereinheit,SEE953918393026,Batteriespeicher PV - Anlage Aasen-Donaueschingen,Volleinspeisung,2460,78166,Schwarzwald-Baar-Kreis,Donaueschingen,NA,NA,Baden-Württemberg,8.553939,47.999128,2023,NA,FALSE,Batterie,NA,NA
SEE988358912759,ABR981540880188,Stromspeichereinheit,SEE988358912759,VSP 30 GmbH ＆ Co. KG - Inno-Speicher Calbe,Volleinspeisung,1500,39240,Salzlandkreis,Calbe,NA,NA,Sachsen-Anhalt,11.712408,51.915851,2023,NA,FALSE,Batterie,NA,NA
SEE990143001883,ABR997700317975,Stromspeichereinheit,SEE990143001883,Speicher GS I 12740,Teileinspeisung (einschließlich Eigenverbrauch),2475,09603,Mittelsachsen,Großschirma,Am Steinberg,3 s,Sachsen,13.278084,50.978386,2022,NA,FALSE,Batterie,NA,NA
SEE944347555529,ABR989393706204,Stromspeichereinheit,SEE944347555529,PV Walshausen,Volleinspeisung,2475,66484,Südwestpfalz,Walshausen,NA,NA,Rheinland-Pfalz,7.45446,49.218971,2023,NA,FALSE,Batterie,NA,NA
SEE916582324970,ABR982511102919,Stromspeichereinheit,SEE916582324970,Solarpark Seckach BESS,Volleinspeisung,3700,74743,Neckar-Odenwald-Kreis,Seckach,NA,NA,Baden-Württemberg,9.346731,49.419715,2023,NA,FALSE,Batterie,NA,NA
SEE984446277410,ABR920405658623,Stromspeichereinheit,SEE984446277410,Büttel Speicher,Volleinspeisung,12000,25572,Steinburg,Büttel,NA,NA,Schleswig-Holstein,9.217374,53.909541,2023,NA,FALSE,Batterie,NA,NA
SEE998969352356,ABR975233471975,Stromspeichereinheit,SEE998969352356,WBS-Pinnow,Volleinspeisung,6000,19065,Ludwigslust-Parchim,Pinnow,NA,NA,Mecklenburg-Vorpommern,11.536881,53.580704,2023,NA,FALSE,Batterie,NA,NA
SEE937857006797,ABR958219853187,Stromspeichereinheit,SEE937857006797,WBS-Tarzow,Volleinspeisung,10000,23972,Nordwestmecklenburg,Lübow,NA,NA,Mecklenburg-Vorpommern,11.591472,53.81735,2023,NA,FALSE,Batterie,NA,NA
SEE900944307091,ABR952166828663,Stromspeichereinheit,SEE900944307091,Balder B02 - Speicher,Volleinspeisung,4000,17213,Mecklenburgische Seenplatte,Malchow,NA,NA,Mecklenburg-Vorpommern,12.383626,53.496037,2023,NA,FALSE,Batterie,NA,NA
SEE957312641844,ABR988498759030,Stromspeichereinheit,SEE957312641844,Schmölln II BESS,Volleinspeisung,2940,17291,Uckermark,Randowtal,NA,NA,Brandenburg,14.076107,53.31281,2022,NA,FALSE,Batterie,NA,NA
SEE940622968053,ABR992931025316,Stromspeichereinheit,NA,Speichersystem Innovation US2,Volleinspeisung,2900,96253,Coburg,Untersiemau,NA,NA,Bayern,10.991451,50.191316,2021,NA,FALSE,Batterie,NA,NA
SEE994340102589,ABR958691500777,Stromspeichereinheit,NA,Speicher BAB60,Volleinspeisung,3500,54655,Eifelkreis Bitburg-Prüm,Wilsecker,NA,NA,Rheinland-Pfalz,6.605058,50.018145,2023,NA,FALSE,Batterie,NA,NA
SEE952317222654,ABR977127224056,Stromspeichereinheit,SEE952317222654,Speicher Raderstetten,Volleinspeisung,3444,86577,Aichach-Friedberg,Sielenbach,NA,NA,Bayern,11.195795,48.389389,2022,NA,FALSE,Batterie,NA,NA
SEE915943244858,ABR993403842417,Stromspeichereinheit,SEE915943244858,Speicher Taiting BA 1,Volleinspeisung,3400,86453,Aichach-Friedberg,Dasing,NA,NA,Bayern,11.048032,48.397787,2023,NA,FALSE,Batterie,NA,NA
SEE958252031641,ABR987950086479,Stromspeichereinheit,SEE958252031641,Speicher Völkersleier,Volleinspeisung,2800,97797,Bad Kissingen,Wartmannsroth,NA,NA,Bayern,9.788662,50.186875,2022,NA,FALSE,Batterie,NA,NA
SEE980509026452,ABR925191815540,Stromspeichereinheit,SEE980509026452,Speicher Granheim II BA 1,Volleinspeisung,3400,89584,Alb-Donau-Kreis,Ehingen,NA,NA,Baden-Württemberg,9.582449,48.319174,2023,NA,FALSE,Batterie,NA,NA
SEE920612166553,ABR900044651520,Stromspeichereinheit,SEE920612166553,Speicher Hiersdorf BA 1,Volleinspeisung,3459.6,93343,Kelheim,Essing,NA,NA,Bayern,11.791647,48.949906,2023,NA,FALSE,Batterie,NA,NA
SEE930716288624,ABR966606989395,Stromspeichereinheit,SEE930716288624,Speicher Aichkirchen BA 1,Volleinspeisung,3459.6,93155,Regensburg,Hemau,NA,NA,Bayern,11.74548,49.00206,2023,NA,FALSE,Batterie,NA,NA
SEE928876901736,ABR952953591480,Stromspeichereinheit,SEE928876901736,Speicher Pfannenstiel,Volleinspeisung,2800,86551,Aichach-Friedberg,Aichach,NA,NA,Bayern,11.102456,48.474757,2022,NA,FALSE,Batterie,NA,NA
SEE966760545529,ABR973463132475,Stromspeichereinheit,SEE966760545529,Speicher Finsterwalde III,Volleinspeisung,3400,03238,Elbe-Elster,Finsterwalde,NA,NA,Brandenburg,13.713402,51.533527,2022,NA,FALSE,Batterie,NA,NA
SEE921528677294,ABR943531574261,Stromspeichereinheit,NA,Speicher Waidhaus,Volleinspeisung,3400,92726,Neustadt a.d. Waldnaab,Waidhaus,NA,NA,Bayern,12.469399,49.643667,2023,NA,FALSE,Batterie,NA,NA
SEE905115289190,ABR945006970776,Stromspeichereinheit,SEE905115289190,Speicher Eichkreith BA 1,Volleinspeisung,3400,93183,Regensburg,Kallmünz,NA,NA,Bayern,11.92939,49.14593,2023,NA,FALSE,Batterie,NA,NA
SEE975454370545,ABR903717957325,Stromspeichereinheit,SEE975454370545,Speicher Weikerstetten BA 1,Volleinspeisung,3400,97953,Main-Tauber-Kreis,Königheim,NA,NA,Baden-Württemberg,9.54815,49.60683,2023,NA,FALSE,Batterie,NA,NA
SEE965617763024,ABR950034796878,Stromspeichereinheit,SEE965617763024,23117 SP Bogen Speicher,Volleinspeisung,1200,94327,Straubing-Bogen,Bogen,NA,NA,Bayern,12.7013,48.93459,2024,NA,FALSE,Batterie,NA,NA
SEE986716550445,ABR985028010029,Stromspeichereinheit,NA,20343 SP Wimmelburg_Speicher,Volleinspeisung,1350,06313,Mansfeld-Südharz,Hergisdorf,NA,NA,Sachsen-Anhalt,11.50025,51.526904,2021,NA,FALSE,Batterie,NA,NA
SEE983085850367,ABR912540905649,Stromspeichereinheit,NA,20128 SP Hans-Seidel-Schacht Speicher,Volleinspeisung,3330,06295,Mansfeld-Südharz,Lutherstadt Eisleben,NA,NA,Sachsen-Anhalt,11.523455,51.553344,2021,NA,FALSE,Batterie,NA,NA
SEE941708872783,ABR998735752212,Stromspeichereinheit,NA,GBS KW Weiher,Volleinspeisung,15000,66287,Regionalverband Saarbrücken,Quierschied,Holzer Straße,NA,Saarland,7.031127,49.334731,2016,NA,FALSE,Batterie,NA,NA
SEE923480872250,ABR988666610835,Stromspeichereinheit,NA,PSW Geesthacht PSS B,Volleinspeisung,40000,21502,Herzogtum Lauenburg,Geesthacht,Elbuferstraße,49,Schleswig-Holstein,10.394,53.419,1958,NA,FALSE,Pumpspeicher,NA,NA
SEE966988528885,ABR988666610835,Stromspeichereinheit,NA,PSW Geesthacht PSS C,Volleinspeisung,40000,21502,Herzogtum Lauenburg,Geesthacht,Elbuferstraße,49,Schleswig-Holstein,10.394,53.419,1958,NA,FALSE,Pumpspeicher,NA,NA
SEE972367491114,NA,Stromspeichereinheit,NA,PSW Niederwartha PSS C,Volleinspeisung,20000,01156,Dresden,Dresden,Am Fährhaus,4,Sachsen,13.61,51.091,1958,2024,TRUE,Pumpspeicher,NA,NA
SEE973768834586,NA,Stromspeichereinheit,NA,PSW Niederwartha PSS D,Volleinspeisung,20000,01156,Dresden,Dresden,Am Fährhaus,4,Sachsen,13.61,51.091,1958,2024,TRUE,Pumpspeicher,NA,NA
SEE959926651769,ABR995767815588,Stromspeichereinheit,SEE959926651769,Hh-Batteriespeicher_Werk_Ost_4200,Volleinspeisung,4200,35452,Gießen,Heuchelheim,Rodheimer Straße,59,Hessen,8.633737,50.590034,2021,NA,FALSE,Batterie,NA,NA
SEE919443669678,ABR998735752212,Stromspeichereinheit,NA,GBS KW Fenne,Volleinspeisung,15000,66333,Regionalverband Saarbrücken,Völklingen,Saarbrücker Straße,135,Saarland,6.878758,49.247195,2016,NA,FALSE,Batterie,NA,NA
SEE990521990150,ABR998735752212,Stromspeichereinheit,NA,GBS KW Bexbach,Volleinspeisung,15000,66450,Saarpfalz-Kreis,Bexbach,Grubenstraße,NA,Saarland,7.239233,49.36396,2016,NA,FALSE,Batterie,NA,NA
SEE971138728251,ABR998735752212,Stromspeichereinheit,NA,GBS KW Herne,Volleinspeisung,15000,44653,Herne,Herne,Hertener Straße,16,Nordrhein-Westfalen,7.189822,51.552413,2016,NA,FALSE,Batterie,NA,NA
SEE964940893804,ABR998735752212,Stromspeichereinheit,NA,GBS KW Walsum,Volleinspeisung,15000,47179,Duisburg,Duisburg,Dr.-Wilhelm-Roelen-Str.,129,Nordrhein-Westfalen,6.711709,51.527123,2016,NA,FALSE,Batterie,NA,NA
SEE908096553144,ABR998735752212,Stromspeichereinheit,NA,GBS 2 KW Bexbach,Volleinspeisung,15000,66450,Saarpfalz-Kreis,Bexbach,Grubenstraße,NA,Saarland,7.239967,49.363746,2016,NA,FALSE,Batterie,NA,NA
SEE963224111412,ABR982988239613,Stromspeichereinheit,SEE963224111412,Batteriespeicher Cremzow,Teileinspeisung (einschließlich Eigenverbrauch),22000,17291,Uckermark,Randowtal,NA,NA,Brandenburg,14.030829,53.348402,2018,NA,FALSE,Batterie,NA,NA
SEE924380724335,ABR967954689265,Stromspeichereinheit,NA,BS Großenhain,Volleinspeisung,1500,01558,Meißen,Großenhain,Hohe Straße,12,Sachsen,13.544,51.299196,2020,NA,FALSE,Batterie,NA,NA
SEE940316838242,ABR973937302977,Stromspeichereinheit,NA,Batteriespeicher,Volleinspeisung,12500,92723,Neustadt a.d. Waldnaab,Tännesberg,Tanzmühle,4,Bayern,12.281245,49.552212,2019,NA,FALSE,Batterie,NA,NA
SEE948862230381,ABR997085549428,Stromspeichereinheit,NA,ISEA - M5BAT,Volleinspeisung,5410,52068,Städteregion Aachen,Aachen,Hüttenstraße,9,Nordrhein-Westfalen,6.129985,50.777096,2016,NA,FALSE,Batterie,NA,NA
SEE998534788504,ABR914764874992,Stromspeichereinheit,NA,Waldeck 1 Pumpspeicher,Volleinspeisung,75000,34549,Waldeck-Frankenberg,Edertal,Kraftwerkstraße,10,Hessen,9.04661,51.1669,1931,NA,FALSE,Pumpspeicher,NA,NA
SEE977346043964,ABR914764874992,Stromspeichereinheit,NA,Bringhausen M3 F1,Volleinspeisung,35000,34549,Waldeck-Frankenberg,Edertal,Kraftwerkstraße,10,Hessen,9.04611,51.1668,1931,NA,FALSE,Pumpspeicher,NA,NA
SEE943568591200,ABR914764874992,Stromspeichereinheit,NA,Bringhausen M4 F1,Volleinspeisung,35000,34549,Waldeck-Frankenberg,Edertal,Kraftwerkstraße,10,Hessen,9.04611,51.1668,1974,NA,FALSE,Pumpspeicher,NA,NA
SEE930853098728,ABR981894928901,Stromspeichereinheit,NA,Oberberg1 PSW Pe1,Volleinspeisung,1200,94469,Deggendorf,Deggendorf,Ruselbergstraße,84,Bayern,13.006911,48.85906,1960,NA,FALSE,Pumpspeicher,NA,NA
SEE970730890311,ABR981894928901,Stromspeichereinheit,NA,Oberberg1 PSW Pe2,Volleinspeisung,1200,94469,Deggendorf,Deggendorf,Ruselbergstraße,84,Bayern,13.006911,48.85906,2007,NA,FALSE,Pumpspeicher,NA,NA
SEE937801091558,ABR981894928901,Stromspeichereinheit,NA,Oberberg2a PSW F1,Volleinspeisung,4400,94469,Deggendorf,Deggendorf,Ruselbergstraße,84,Bayern,13.006911,48.85906,2007,NA,FALSE,Pumpspeicher,NA,NA
SEE934638364947,ABR945126522190,Stromspeichereinheit,SEE934638364947,Batteriespeicher Sengenthal,Teileinspeisung (einschließlich Eigenverbrauch),2520,92369,Neumarkt i.d. OPf.,Sengenthal,NA,NA,Bayern,11.448824,49.222876,2021,NA,FALSE,Batterie,NA,NA
SEE993590107580,ABR915068942295,Stromspeichereinheit,NA,PSW Glems 1,Teileinspeisung (einschließlich Eigenverbrauch),45000,72555,Reutlingen,Metzingen,Unterer Hof,2,Baden-Württemberg,9.28726,48.50519,1964,NA,FALSE,Pumpspeicher,NA,NA
SEE987119743892,ABR915068942295,Stromspeichereinheit,NA,PSW Glems 2,Teileinspeisung (einschließlich Eigenverbrauch),45000,72555,Reutlingen,Metzingen,Unterer Hof,2,Baden-Württemberg,9.28726,48.50519,1964,NA,FALSE,Pumpspeicher,NA,NA
