ort,landkreis,plz,Bundesland,Paragraph,Revier
Sallgast,Landkreis Elbe-Elster,03238,Brandenburg,§2,Lausitzer Braunkohlerevier
Salzatal,Saalekreis,06198,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Sandersdorf-Brehna,Landkreis Anhalt-Bitterfeld,06792,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Sandersdorf-Brehna,Landkreis Anhalt-Bitterfeld,06794,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Sandersdorf-Brehna,Landkreis Anhalt-Bitterfeld,06796,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Sandersdorf-Brehna,Landkreis Anhalt-Bitterfeld,06809,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Sangerhausen,Landkreis Mansfeld-Südharz,06526,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Sanitz,Landkreis Rostock,18190,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Sarmstorf,Landkreis Rostock,18276,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Satow,Landkreis Rostock,18239,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Schenkendöbern,Landkreis Spree-Neiße,03172,Brandenburg,§2,Lausitzer Braunkohlerevier
Schilda,Landkreis Elbe-Elster,03253,Brandenburg,§2,Lausitzer Braunkohlerevier
Schipkau,Landkreis Oberspreewald-Lausitz,01968,Brandenburg,§2,Lausitzer Braunkohlerevier
Schipkau,Landkreis Oberspreewald-Lausitz,01993,Brandenburg,§2,Lausitzer Braunkohlerevier
Schipkau,Landkreis Oberspreewald-Lausitz,01994,Brandenburg,§2,Lausitzer Braunkohlerevier
Schipkau,Landkreis Oberspreewald-Lausitz,01998,Brandenburg,§2,Lausitzer Braunkohlerevier
Schirgiswalde-Kirschau,Landkreis Bautzen,02681,Sachsen,§2,Lausitzer Braunkohlerevier
Schkeuditz,Landkreis Nordsachsen,04435,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Schkopau,Saalekreis,06258,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Schleiden,Kreis Euskirchen,53937,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Schleife - Slepo,Landkreis Görlitz,02959,Sachsen,§2,Lausitzer Braunkohlerevier
Schlepzig,Landkreis Dahme-Spreewald,15910,Brandenburg,§2,Lausitzer Braunkohlerevier
Schlieben,Landkreis Elbe-Elster,04936,Brandenburg,§2,Lausitzer Braunkohlerevier
Schmelz,Landkreis Saarlouis,66839,Saarland,§11/12,Steinkohlenbergbaugebiete
Schmogrow-Fehrow,Landkreis Spree-Neiße,03096,Brandenburg,§2,Lausitzer Braunkohlerevier
Schmölln,Landkreis Altenburger Land,04626,Thüringen,§11/12,Steinkohlenbergbaugebiete
Schmölln-Putzkau,Landkreis Bautzen,01877,Sachsen,§2,Lausitzer Braunkohlerevier
Schnaudertal,Burgenlandkreis,06712,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Schönau-Berzdorf auf dem Eigen,Landkreis Görlitz,02899,Sachsen,§2,Lausitzer Braunkohlerevier
Schönbach,Landkreis Görlitz,02708,Sachsen,§2,Lausitzer Braunkohlerevier
Schönborn,Landkreis Elbe-Elster,03253,Brandenburg,§2,Lausitzer Braunkohlerevier
Schönburg,Burgenlandkreis,06618,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Schönefeld,Landkreis Dahme-Spreewald,12529,Brandenburg,§2,Lausitzer Braunkohlerevier
Schönewalde,Landkreis Elbe-Elster,04916,Brandenburg,§2,Lausitzer Braunkohlerevier
Schöningen,Landkreis Helmstedt,38364,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Schönwald,Landkreis Dahme-Spreewald,15910,Brandenburg,§2,Lausitzer Braunkohlerevier
Schönwölkau,Landkreis Nordsachsen,04509,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Schöpstal,Landkreis Görlitz,02829,Sachsen,§2,Lausitzer Braunkohlerevier
Schorssow,Landkreis Rostock,17166,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Schraden,Landkreis Elbe-Elster,04928,Brandenburg,§2,Lausitzer Braunkohlerevier
Schraplau,Saalekreis,06279,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Schulzendorf,Landkreis Dahme-Spreewald,15732,Brandenburg,§2,Lausitzer Braunkohlerevier
Schwaan,Landkreis Rostock,18258,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Schwalbach,Landkreis Saarlouis,66773,Saarland,§11/12,Steinkohlenbergbaugebiete
Schwarzbach,Landkreis Oberspreewald-Lausitz,01945,Brandenburg,§2,Lausitzer Braunkohlerevier
Schwarzheide,Landkreis Oberspreewald-Lausitz,01987,Brandenburg,§2,Lausitzer Braunkohlerevier
Schwasdorf,Landkreis Rostock,17168,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Schwepnitz,Landkreis Bautzen,01936,Sachsen,§2,Lausitzer Braunkohlerevier
Schwerin,Landkreis Dahme-Spreewald,15755,Brandenburg,§2,Lausitzer Braunkohlerevier
Schwerte,Kreis Unna,58239,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Schwielochsee,Landkreis Dahme-Spreewald,15913,Brandenburg,§2,Lausitzer Braunkohlerevier
