nr_MASTR,name,betreiber,energietraeger,leistung_brutto,leistung_netto,jahr_inbetriebnahme,plz,stillgelegt,jahr_stillegung,stillegung_type,ort,landkreis,Bundesland,Paragraph,Revier
SEE946568262484,Heizkraftwerk Dieselstraße Block B,EVH GmbH,Erdgas,57.95,57.144,2020,06130,FALSE,NA,NA,Halle (Saale),Halle (Saale),Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE954351462355,Partition_2,BMW AG,Batteriespeicher,3.4,3.4,2017,04349,FALSE,NA,NA,Leipzig,Leipzig,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE944498947082,BMHKW Biomasseheizkraftwerk Elsterwerda,Danpower GmbH,Biomasse,12.6,11.5,2004,04910,FALSE,NA,NA,Elsterwerda,Landkreis Elbe-Elster,Brandenburg,§2,Lausitzer Braunkohlerevier
SEE965327731764,BHKW Jülich,Pfeifer & Langen GmbH & Co. KG,Erdgas,1.413,1.387,2002,52428,FALSE,NA,NA,Jülich,Kreis Düren,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE984352856976,Leipzig KWK 1,BMW AG,Erdgas,3.119,3.119,2009,04349,FALSE,NA,NA,Leipzig,Leipzig,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE993638387103,NEA EEW Helmstedt,EEW Energy from Waste Helmstedt GmbH,Mineraloelprodukte,6,5.18,2018,38372,FALSE,NA,NA,Helmstedt,Landkreis Helmstedt,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
SEE998623498277,DT3,InfraLeuna GmbH,Waerme,24.4,23.9,2022,06237,FALSE,NA,NA,Leuna,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE998199911088,Kraftwerk Lippendorf Block S,MIBRAG Kraftwerk Lippendorf GmbH,Braunkohle,942,891,1999,04575,FALSE,NA,NA,Neukieritzsch,Landkreis Leipzig,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE991050894971,EKT,InfraLeuna GmbH,Waerme,14.7,14,2000,06237,FALSE,NA,NA,Leuna,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE960158091162,T3,AG der Dillinger Hüttenwerke,Waerme,13,9.9,1971,66763,FALSE,NA,NA,Dillingen/Saar,Landkreis Saarlouis,Saarland,§11/12,Steinkohlenbergbaugebiete
SEE986418252418,Partition_1,BMW AG,Batteriespeicher,3.4,3.4,2017,04349,FALSE,NA,NA,Leipzig,Leipzig,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE968582186379,Boxberg Block R,Lausitz Energie Kraftwerke AG,Braunkohle,666,630,2012,02943,FALSE,2038,KVBG,Boxberg/O.L. - Hamor,Landkreis Görlitz,Sachsen,§2,Lausitzer Braunkohlerevier
SEE971932533266,Batteriespeicher Werne,RWE Supply & Trading GmbH,Batteriespeicher,72,72,2022,59368,FALSE,NA,NA,Werne,Kreis Unna,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE972612434835,Dampfturbine V Südzucker Zeitz,Südzucker AG,Waerme,5.804,5.641,2016,06712,FALSE,NA,NA,Gutenborn,Burgenlandkreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE965350369514,ET HO 1,thyssenkrupp Steel Europe AG,Sonstige Energietraeger (nicht erneuerbar),16,16,1982,47166,FALSE,NA,NA,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE981876305560,TREA Leuna 1,MVV Umwelt Asset GmbH,Abfall,18.545,16.245,2005,06237,FALSE,NA,NA,Leuna,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE982556430190,Raffineriekraftwerk Leuna HDT,TotalEnergies Raffinerie Mitteldeutschland GmbH,Mineraloelprodukte,33.6,29.3,1997,06237,FALSE,NA,NA,Leuna,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE990523934756,"Shell Energy and Chemicals Park, Kraftwerk Wesseling, Turbine 1",Shell Deutschland GmbH,Mineraloelprodukte,35,35,1993,50389,FALSE,NA,NA,Wesseling,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE987113516188,Mitte BHKW 2 Modul 1,Stadtwerke Duisburg AG,Erdgas,4.5,4.472,2023,47053,FALSE,NA,NA,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE987709592503,ET HO 2,thyssenkrupp Steel Europe AG,Sonstige Energietraeger (nicht erneuerbar),18,18,1993,47166,FALSE,NA,NA,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE991220769276,Dormagen DT,RWE Generation SE,Erdgas,194,194,2000,41540,FALSE,NA,NA,Dormagen,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE992213654456,Huckingen B,Hüttenwerke Krupp Mannesmann GmbH,Sonstige Energietraeger (nicht erneuerbar),320,303,1976,47259,FALSE,NA,NA,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE956061511231,GuD Anlage DT,Julius Schulte Trebsen GmbH & Co. KG,Erdgas,1.434,1.434,2013,04687,FALSE,NA,NA,Trebsen/Mulde,Landkreis Leipzig,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE967403086416,Speicher Braunsbedra,Münch visiontec GmbH & Co. KG,Batteriespeicher,5,5,2024,06217,FALSE,NA,NA,Merseburg,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE992864019192,GT5,InfraLeuna GmbH,Erdgas,56.5,55.4,2022,06237,FALSE,NA,NA,Leuna,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE941708872783,GBS KW Weiher,Iqony Battery System,Batteriespeicher,15,15,2016,66287,FALSE,NA,NA,Quierschied,Regionalverband Saarbrücken,Saarland,§11/12,Steinkohlenbergbaugebiete
SEE944787978346,Gaskesselhaus DT,Martinswerk GmbH,Erdgas,5.786,5.544,2024,50127,FALSE,NA,NA,Bergheim,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE985107237163,Anlage 2013,Mercer Torgau GmbH & Co. KG,Biomasse,5.3,4.95,2013,04860,FALSE,NA,NA,Dreiheide,Landkreis Nordsachsen,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE999145467468,GoWerk F,RWE Power AG,Braunkohle,83,63,1992,50354,FALSE,NA,NA,Hürth,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE947677200282,Schkopau B,Saale Energie GmbH,Braunkohle,500,450,1996,06258,FALSE,2034,KVBG,Schkopau,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE958578071345,KWK II HS Timber,HS Timber Services GmbH,Biomasse,5.552,5.28,2024,02923,FALSE,NA,NA,Hähnichen,Landkreis Görlitz,Sachsen,§2,Lausitzer Braunkohlerevier
SEE963537340127,BESS Leuna 3,Münch VoltDepot GmbH,Batteriespeicher,50.94,46.332,2026,06217,FALSE,NA,NA,Merseburg,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE974711013546,Raffineriekraftwerk Leuna NDT,TotalEnergies Raffinerie Mitteldeutschland GmbH,Mineraloelprodukte,34.2,29.8,1997,06237,FALSE,NA,NA,Leuna,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE991324265957,DT06,Smurfit Westrock Zülpich Paper GmbH,Erdgas,15.552,14.383,2010,53909,FALSE,NA,NA,Zülpich,Kreis Euskirchen,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE929050048728,Gaskesselhaus GT,Martinswerk GmbH,Erdgas,6.749,6.467,2024,50127,FALSE,NA,NA,Bergheim,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE953907486180,FZJ_WVVZ-03.19_BHKW-2,Forschungszentrum Jülich GmbH,Erdgas,4.3,4.3,2022,52428,FALSE,NA,NA,Jülich,Kreis Düren,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE987007884447,Weisweiler G,RWE Power AG,Braunkohle,703,663,1974,52249,FALSE,2028,KVBG,Eschweiler,Städteregion Aachen,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE974767618801,Mitte BHKW 2 Modul 2,Stadtwerke Duisburg AG,Erdgas,4.5,4.472,2023,47053,FALSE,NA,NA,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE939426112649,Gersteinwerk I DT (I2),RWE Generation SE,Erdgas,355,355,1973,59368,FALSE,NA,other,Werne,Kreis Unna,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE949646756097,FZJ_BATA_10.55,Forschungszentrum Jülich GmbH,Batteriespeicher,1.05,1.05,2022,52428,FALSE,NA,NA,Jülich,Kreis Düren,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE998356674993,GT1,Smurfit Westrock Zülpich Paper GmbH,Erdgas,5.4,4.946,1996,53909,FALSE,NA,NA,Zülpich,Kreis Euskirchen,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE998558143099,Generator Jülich,Pfeifer & Langen GmbH & Co. KG,Erdgas,25.21,22.86,2004,52428,FALSE,NA,NA,Jülich,Kreis Düren,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE978654614532,Gersteinwerk H1,RWE Generation SE,Erdgas,46,46,2022,59368,FALSE,NA,NA,Werne,Kreis Unna,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE959496642280,AVA Velsen GmbH,AVA Velsen GmbH,Abfall,21,16,1997,66127,FALSE,NA,NA,Saarbrücken,Regionalverband Saarbrücken,Saarland,§11/12,Steinkohlenbergbaugebiete
SEE970425279599,Kraftwerk Wilhelmshaven Onyx,Onyx Kraftwerk Wilhelmshaven GmbH & Co. KG,Steinkohle,790,726,2015,26386,FALSE,NA,NA,Wilhelmshaven,Wilhelmshaven,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
SEE944656117388,Heimbach Maschine 1,RWE Generation Hydro GmbH,Wasser,8,8,1905,52396,FALSE,NA,NA,Heimbach,Kreis Düren,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE958354990617,BES ELS,BSA Elsteraue GmbH,Batteriespeicher,20.295,20.295,2024,06729,FALSE,NA,NA,Elsteraue,Burgenlandkreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE964242179781,Gersteinwerk K,RWE Generation SE,Erdgas,112.5,112,1984,59368,FALSE,NA,reserve,Werne,Kreis Unna,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE969468708715,BESS Leuna 4,Münch SmartCharge Systems GmbH,Batteriespeicher,50.94,46.332,2026,06217,FALSE,NA,NA,Merseburg,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE989591633753,Kraftwerk Jänschwalde Block C,Lausitz Energie Kraftwerke AG,Braunkohle,535,500,1984,03185,FALSE,NA,NA,Drachhausen,Landkreis Spree-Neiße,Brandenburg,§2,Lausitzer Braunkohlerevier
SEE946934017984,EBS-HKW Rostock,Danpower New Energy GmbH,Abfall,22.4,18.5,2010,18147,FALSE,NA,NA,Rostock,Rostock,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
SEE991627285584,KWK-Anlage: Generator 4 (Gas),Martinswerk GmbH,Erdgas,5,4.5,1971,50127,FALSE,NA,NA,Bergheim,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE978888539755,Mittel-Niederdruckdampfturbine,Stadtwerke Cottbus GmbH,Erdgas,48.9,45,1999,03052,FALSE,NA,NA,Cottbus - Chóśebuz,Cottbus - Chóśebuz,Brandenburg,§2,Lausitzer Braunkohlerevier
SEE975343602986,KWK-Anlage: Generator 2,Martinswerk GmbH,Braunkohle,11,9.9,1961,50127,FALSE,NA,NA,Bergheim,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE995184714136,Solar Zerbst Batterie,Solar Zerbst GmbH & Co.KG,Batteriespeicher,17.56,17.56,2025,39261,FALSE,NA,NA,Zerbst/Anhalt,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE985842749525,Boxberg Block N,Lausitz Energie Kraftwerke AG,Braunkohle,540,500,1979,02943,FALSE,2029,KVBG,Boxberg/O.L. - Hamor,Landkreis Görlitz,Sachsen,§2,Lausitzer Braunkohlerevier
SEE995899706617,Gersteinwerk I GT (I1),RWE Generation SE,Erdgas,72,55,1974,59368,FALSE,NA,NA,Werne,Kreis Unna,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE998111672394,IKW Wählitz,MIBRAG GmbH,Braunkohle,35,31,1994,06679,FALSE,NA,NA,Hohenmölsen,Burgenlandkreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE960652233358,Schkopau A,Saale Energie GmbH,Braunkohle,500,450,1995,06258,FALSE,2034,KVBG,Schkopau,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE980013554151,BHKW Ford Saarlouis Modul 2,Ford-Werke GmbH,Erdgas,4.404,4.322,2016,66740,FALSE,NA,NA,Saarlouis,Landkreis Saarlouis,Saarland,§11/12,Steinkohlenbergbaugebiete
SEE939346315557,Speicher Beilrode I - Teilanlage 5,Solarpark Beilrode GmbH & Co. KG,Batteriespeicher,6.16,5.6,2025,04886,FALSE,NA,NA,Arzberg,Landkreis Nordsachsen,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE977356213593,Heimbach Maschine 2,RWE Generation Hydro GmbH,Wasser,8,8,1905,52396,FALSE,NA,NA,Heimbach,Kreis Düren,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE975188536989,HKW-Römerbrücke GuD-Anlage,Energie SaarLorLux AG,Erdgas,41,40,2005,66121,FALSE,NA,NA,Saarbrücken,Regionalverband Saarbrücken,Saarland,§11/12,Steinkohlenbergbaugebiete
SEE977583940965,BHKW Hafen - Modul 7,Jäckering Mühlen- und Nährmittelwerke GmbH,Erdgas,2.193,2.176,2017,59067,FALSE,NA,NA,Hamm,Hamm,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE979779484642,HKW-Römerbrücke Dampfturbinenanlage DT2,Energie SaarLorLux AG,Erdgas,56,53,1988,66121,FALSE,NA,NA,Saarbrücken,Regionalverband Saarbrücken,Saarland,§11/12,Steinkohlenbergbaugebiete
SEE986936308987,KWK-Anlage: Generator 1,Martinswerk GmbH,Braunkohle,11,9.9,1961,50127,FALSE,NA,NA,Bergheim,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE991817093418,Kraftwerk Jänschwalde Block A,Lausitz Energie Kraftwerke AG,Braunkohle,535,500,1981,03185,FALSE,2028,KVBG,Drachhausen,Landkreis Spree-Neiße,Brandenburg,§2,Lausitzer Braunkohlerevier
SEE977956291342,BHKW Ford Saarlouis Modul 1,Ford-Werke GmbH,Erdgas,4.404,4.322,2016,66740,FALSE,NA,NA,Saarlouis,Landkreis Saarlouis,Saarland,§11/12,Steinkohlenbergbaugebiete
SEE999117793854,Weisweiler H VGT,RWE Power AG,Erdgas,202,200,2006,52249,FALSE,NA,NA,Eschweiler,Städteregion Aachen,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE980461358011,BESS Leuna 1,Münch NatureDepot GmbH,Batteriespeicher,50.94,46.332,2026,06217,FALSE,NA,NA,Merseburg,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE987970110314,Trianel Gaskraftwerk Hamm Block 10,Trianel Gaskraftwerk Hamm,Erdgas,453,445,2007,59071,FALSE,NA,NA,Hamm,Hamm,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE986249505394,Heizkraftwerk Leipzig Nord DT8C,Stadtwerke Leipzig GmbH,Erdgas,26.11,25.609,2022,04105,FALSE,NA,NA,Leipzig,Leipzig,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE982412379564,BHKW Hafen - Modul 6,Jäckering Mühlen- und Nährmittelwerke GmbH,Erdgas,1.415,1.398,2017,59067,FALSE,NA,NA,Hamm,Hamm,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE995570780608,BHKW Ford Saarlouis Modul 3,Ford-Werke GmbH,Erdgas,4.404,4.322,2016,66740,FALSE,NA,NA,Saarlouis,Landkreis Saarlouis,Saarland,§11/12,Steinkohlenbergbaugebiete
SEE904421343152,Weisweiler E,NA,Braunkohle,375,321,1965,52249,TRUE,2022,KVBG,Eschweiler,Städteregion Aachen,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE907162822238,Wilhelmshaven 1 DT,NA,Steinkohle,782,715,1976,26386,TRUE,2021,KVBG,Wilhelmshaven,Wilhelmshaven,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
SEE931736847297,Neurath D,NA,Braunkohle,647,607,1975,41517,TRUE,2024,KVBG,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE941974735591,Rauchgasturbine,NA,Braunkohle,15,13,1998,03052,TRUE,2022,EnWG,Cottbus - Chóśebuz,Cottbus - Chóśebuz,Brandenburg,§2,Lausitzer Braunkohlerevier
SEE939468630132,Heizkraftwerk Leipzig Nord DT83,NA,Waerme,45.6,44.414,1996,04105,TRUE,2021,other,Leipzig,Leipzig,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE964729462818,Kraftwerk Jänschwalde Block F,NA,Braunkohle,535,500,1989,03185,TRUE,2024,other,Drachhausen,Landkreis Spree-Neiße,Brandenburg,§2,Lausitzer Braunkohlerevier
SEE901786750397,Niederaußem E,NA,Braunkohle,324,295,1970,50129,TRUE,2024,other,Bergheim,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE907142597378,KWD Bestandsanlage,NA,Erdgas,49.189,48.279,2005,06130,TRUE,2020,other,Halle (Saale),Halle (Saale),Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE933685962403,Weisweiler F,NA,Braunkohle,361,321,1967,52249,TRUE,2025,KVBG,Eschweiler,Städteregion Aachen,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE977258693776,Wilhelmshaven 1 ZT,NA,Steinkohle,140,140,1998,26386,TRUE,2021,KVBG,Wilhelmshaven,Wilhelmshaven,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
SEE978327902850,Westfalen E,NA,Steinkohle,800,763.7,2014,59071,TRUE,2021,KVBG,Hamm,Hamm,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE978389589440,Walsum 9,NA,Steinkohle,410,370,1988,47179,TRUE,2021,KVBG,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE907150117643,Neurath A,NA,Braunkohle,294,294,1972,41517,TRUE,2022,KVBG,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE923485223774,Fenne MKV Gasturbine,NA,Mineraloelprodukte,35,34.86,1982,66333,TRUE,2025,EnWG,Völklingen,Regionalverband Saarbrücken,Saarland,§11/12,Steinkohlenbergbaugebiete
SEE934897209904,Wilhelmshaven GT,NA,Mineraloelprodukte,57,56,1976,26386,TRUE,2024,EnWG,Wilhelmshaven,Wilhelmshaven,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
SEE930228090937,Niederaußem F,NA,Braunkohle,334,299,1971,50129,TRUE,2024,other,Bergheim,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE989054024678,Scholven FWK,NA,Steinkohle,70,70,1985,45896,TRUE,2023,EnWG,Gelsenkirchen,Gelsenkirchen,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE976414005279,Neurath E,NA,Braunkohle,645,604,1976,41517,TRUE,2024,KVBG,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE978971638464,Neurath C,NA,Braunkohle,316,292,1973,41517,TRUE,2024,other,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE946537967655,Hochdruckdampfturbine,NA,Braunkohle,17.8,16,1999,03052,TRUE,2022,EnWG,Cottbus - Chóśebuz,Cottbus - Chóśebuz,Brandenburg,§2,Lausitzer Braunkohlerevier
SEE992750539261,Frimmersdorf P,NA,Braunkohle,333,284,1966,41517,TRUE,2021,other,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE979012663285,Neurath B,NA,Braunkohle,318,294,1972,41517,TRUE,2022,KVBG,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE999431209765,Frimmersdorf Q,NA,Braunkohle,321,278,1970,41517,TRUE,2021,other,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE967605837250,Niederaußem C,NA,Braunkohle,333,295,1965,50129,TRUE,2022,KVBG,Bergheim,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE985047526785,Kraftwerk Jänschwalde Block E,NA,Braunkohle,535,500,1987,03185,TRUE,2024,other,Drachhausen,Landkreis Spree-Neiße,Brandenburg,§2,Lausitzer Braunkohlerevier
SEE999977738880,IKW Deuben,NA,Braunkohle,78,67,1936,06682,TRUE,2022,KVBG,Teuchern,Burgenlandkreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
BNA0302,Frimmersdorf,NA,Braunkohle,146,129,1957,41517,TRUE,2011,other,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
BNA0303,Frimmersdorf,NA,Braunkohle,147,130,1957,41517,TRUE,2011,other,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
BNA0304,Frimmersdorf,NA,Braunkohle,143,124,1960,41517,TRUE,2011,other,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
BNA0414,Westfalen,NA,Steinkohle,160,152,1963,59071,TRUE,2011,other,Hamm,Hamm,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
BNA0415,Westfalen,NA,Steinkohle,160,152,1963,59071,TRUE,2011,other,Hamm,Hamm,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
BNA0710,Niederaußem,NA,Braunkohle,140,125,1963,50129,TRUE,2012,other,Bergheim,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
BNA0711,Niederaußem,NA,Braunkohle,140,125,1963,50129,TRUE,2012,other,Bergheim,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
BNA0212,HKW II/B,NA,Steinkohle,144,133,1965,47053,TRUE,2012,other,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
BNA1021,Weisweiler,NA,Braunkohle,146,123,1955,52249,TRUE,2012,other,Eschweiler,Städteregion Aachen,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
BNA1022,Weisweiler,NA,Braunkohle,155,135,1959,52249,TRUE,2012,other,Eschweiler,Städteregion Aachen,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
BNA0307,Frimmersdorf,NA,Braunkohle,144,128,1960,41517,TRUE,2012,other,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
BNA0308,Frimmersdorf,NA,Braunkohle,152,136,1962,41517,TRUE,2012,other,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
BNA0305,Frimmersdorf,NA,Braunkohle,146,130,1959,41517,TRUE,2012,other,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
BNA0306,Frimmersdorf,NA,Braunkohle,151,132,1960,41517,TRUE,2012,other,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
BNA0309,Frimmersdorf,NA,Braunkohle,153,135,1964,41517,TRUE,2012,other,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
BNA0310,Frimmersdorf,NA,Braunkohle,155,138,1962,41517,TRUE,2012,other,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
BNA0311,Frimmersdorf,NA,Braunkohle,147,131,1962,41517,TRUE,2012,other,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
BNA0312,Frimmersdorf,NA,Braunkohle,149,133,1964,41517,TRUE,2012,other,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
BNA0448,Shamrock,NA,Steinkohle,162,132,1957,44653,TRUE,2013,other,Herne,Herne,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
BNA0215,KW Walsum,NA,Steinkohle,150,129,1959,47179,TRUE,2014,EnWG,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
BNA0333,Scholven,NA,Steinkohle,370,345,1970,45896,TRUE,2014,EnWG,Gelsenkirchen,Gelsenkirchen,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
BNA0334,Scholven,NA,Steinkohle,370,345,1971,45896,TRUE,2014,EnWG,Gelsenkirchen,Gelsenkirchen,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
BNA0335,Scholven,NA,Steinkohle,740,676,1979,45896,TRUE,2014,EnWG,Gelsenkirchen,Gelsenkirchen,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
BNA0447,KW Herne,NA,Steinkohle,150,133,1963,44653,TRUE,2014,EnWG,Herne,Herne,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
BNA0490b,Goldenberg,NA,Braunkohle,45,45,1993,50354,TRUE,2015,EnWG,Hürth,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
BNA0413a,Westfalen,NA,Steinkohle,305,284,1969,59071,TRUE,2016,EnWG,Hamm,Hamm,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
BNA0413b,Westfalen,NA,Steinkohle,800,765,2014,59071,TRUE,2016,other,Hamm,Hamm,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
BNA0449,KW Herne,NA,Steinkohle,310,280,1966,44653,TRUE,2017,EnWG,Herne,Herne,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
BNA0211,HKW I,NA,Steinkohle,105,95,1985,47053,TRUE,2018,EnWG,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
