nr_MASTR,name,betreiber,energietraeger,leistung_brutto,leistung_netto,jahr_inbetriebnahme,plz,stillgelegt,jahr_stillegung,stillegung_type,ort,landkreis,Bundesland,Paragraph,Revier
SEE901050642113,Heizkraftwerk Dieselstraße Block C,EVH GmbH,Erdgas,57.322,57.322,2020,06130,FALSE,NA,NA,Halle (Saale),Halle (Saale),Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE904662075126,7712MKA10-GT2,Sachsenmilch Leppersdorf GmbH,Erdgas,15.45,14.885,2014,01454,FALSE,NA,NA,Radeberg,Landkreis Bautzen,Sachsen,§2,Lausitzer Braunkohlerevier
SEE908125004449,Boxberg Block P,Lausitz Energie Kraftwerke AG,Braunkohle,540,500,1980,02943,FALSE,2029,KVBG,Boxberg/O.L. - Hamor,Landkreis Görlitz,Sachsen,§2,Lausitzer Braunkohlerevier
SEE936042422251,GT,Kraftwerk Neuss GmbH,Erdgas,16.971,16.871,2025,41460,FALSE,NA,NA,Neuss,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE937544161082,EBS Heizkraftwerk Spremberg,SpreeStromErzeugungs GmbH,Abfall,22.707,17.5,2012,03130,FALSE,NA,NA,Felixsee,Landkreis Spree-Neiße,Brandenburg,§2,Lausitzer Braunkohlerevier
SEE966331411864,Kraftwerk Lippendorf Block R,Lausitz Energie Kraftwerke AG,Braunkohle,942,891,2000,04575,FALSE,2035,KVBG,Neukieritzsch,Landkreis Leipzig,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE911097916719,Gasturbine Model Sachsen Papier,Model Sachsen Papier GmbH,Erdgas,30.6493,30.6493,2009,04838,FALSE,NA,NA,Doberschütz,Landkreis Nordsachsen,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE912994271871,Hamborn 3,thyssenkrupp Steel Europe AG,Sonstige Energietraeger (nicht erneuerbar),64,59.6,1958,47166,FALSE,NA,NA,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE915966254872,Hamborn 5,thyssenkrupp Steel Europe AG,Sonstige Energietraeger (nicht erneuerbar),241,225,2003,47166,FALSE,NA,NA,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE946556052639,GSH Green Steam Hürth GmbH,GSH Green Steam Hürth GmbH,Biomasse,20,18.3,2023,50354,FALSE,NA,NA,Hürth,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE923304040681,Gersteinwerk F GT (F1),RWE Generation SE,Erdgas,72,55,1972,59368,FALSE,NA,reserve,Werne,Kreis Unna,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE926900618322,Sermuth BHKW 1,envia THERM GmbH,Mineraloelprodukte,7.2,5.7,1995,04680,FALSE,NA,NA,Colditz,Landkreis Leipzig,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE927582792126,BESS Leuna 2,Münch NextGen Storage GmbH,Batteriespeicher,50.94,46.332,2026,06217,FALSE,NA,NA,Merseburg,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE930982693153,Knapsack I - Gasturbine  GT11,Knapsack Power GmbH & Co. KG,Erdgas,295,295,2007,50354,FALSE,NA,NA,Hürth,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE914438115895,Heizkraftwerk Dieselstraße Block A,EVH GmbH,Erdgas,57.646,56.845,2020,06130,FALSE,NA,NA,Halle (Saale),Halle (Saale),Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE925158531827,Heizkraftwerk Dieselstraße NEA,EVH GmbH,Erdgas,1.56,1.541,2020,06130,FALSE,NA,NA,Halle (Saale),Halle (Saale),Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE931406146903,LBG-1/599,Ruhr Oel GmbH – BP Gelsenkirchen,Sonstige Energietraeger (nicht erneuerbar),15,15,2025,45896,FALSE,NA,NA,Gelsenkirchen,Gelsenkirchen,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE941844408532,Großkayna GT2,envia THERM GmbH,Mineraloelprodukte,45.625,45.625,1994,06242,FALSE,NA,NA,Braunsbedra,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE957229968300,Niederaußem H,RWE Power AG,Braunkohle,690,648,1974,50129,FALSE,2030,KVBG,Bergheim,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE918916993708,Wolfen GT,envia THERM GmbH,Erdgas,50,50,1996,06766,FALSE,NA,NA,Bitterfeld-Wolfen,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE923244371197,Heizkraftwerk Leipzig Nord GT81,Stadtwerke Leipzig GmbH,Erdgas,64.783,63.54,1996,04105,FALSE,NA,NA,Leipzig,Leipzig,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE956906670420,BMHKW Bergkamen,E.ON Energy Solutions GmbH,Biomasse,20,18.472,2005,59192,FALSE,NA,NA,Bergkamen,Kreis Unna,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE966844914388,Großkayna GT1,envia THERM GmbH,Mineraloelprodukte,45.625,45.625,1994,06242,FALSE,NA,NA,Braunsbedra,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE976362409624,BES GRO,BES Groitzsch GmbH& Co. KG,Batteriespeicher,17.25,16.425,2019,04539,FALSE,NA,NA,Groitzsch,Landkreis Leipzig,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE930673793902,Bergkamen A,STEAG Power GmbH,Steinkohle,780,720,1981,59192,FALSE,NA,reserve,Bergkamen,Kreis Unna,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE958519166192,ET HO4,ROGESA Roheisengesellschaft Saar mbH,Sonstige Energietraeger (nicht erneuerbar),9.52,9.52,1986,66763,FALSE,NA,NA,Dillingen/Saar,Landkreis Saarlouis,Saarland,§11/12,Steinkohlenbergbaugebiete
SEE925599434282,Neurath F,RWE Power AG,Braunkohle,1110,1060,2012,41517,FALSE,2030,KVBG,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE943297204990,ZF-SBR-GuD-Heizkraftwerk,Energie SaarLorLux AG,Erdgas,39.0292,38.6102,2012,66117,FALSE,NA,NA,Saarbrücken,Regionalverband Saarbrücken,Saarland,§11/12,Steinkohlenbergbaugebiete
SEE938669585906,Kraftwerk Jänschwalde Block B,Lausitz Energie Kraftwerke AG,Braunkohle,535,500,1982,03185,FALSE,NA,NA,Drachhausen,Landkreis Spree-Neiße,Brandenburg,§2,Lausitzer Braunkohlerevier
SEE993116568932,Batteriespeicher Neurath,RWE Generation SE,Batteriespeicher,99,80,2025,41517,FALSE,NA,NA,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE993592183001,Neurath G,RWE Power AG,Braunkohle,1110,1060,2012,41517,FALSE,2030,KVBG,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE942226311273,GuD-Block 2,Stadtwerke Rostock Aktiengesellschaft,Erdgas,37,36,1996,18069,FALSE,NA,NA,Lambrechtshagen,Landkreis Rostock,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
SEE971138728251,GBS KW Herne,Iqony Battery System,Batteriespeicher,15,15,2016,44653,FALSE,NA,NA,Herne,Herne,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE954883124240,DT,Kraftwerk Neuss GmbH,Erdgas,6.451,6.303,2025,41460,FALSE,NA,NA,Neuss,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
