nr_MASTR,nr_betreiber,energie_type,name,einspeisung,leistung_brutto,plz,landkreis,ort,strasse,hausnummer,bundesland,laenge,breite,jahr_inbetriebnahme,jahr_stillgelegt,stillgelegt,energietraeger,anzahl_einheiten,name_KW,nr_KW
SEE911677278312,ABR901195196069,Solareinheit,Zeithain BA5,Volleinspeisung,20996.01,01619,Meißen,Zeithain,NA,NA,Sachsen,13.332229,51.358546,2018,NA,FALSE,Freiflächensolaranlage,77395,NA,NA
SEE920883283591,ABR947136699565,Solareinheit,PVF Halberstadt Teilanlage 2,Volleinspeisung,14616.96,38820,Harz,Halberstadt,Friedrich-List-Straße,1,Sachsen-Anhalt,11.052,51.868,2012,NA,FALSE,Freiflächensolaranlage,60904,NA,NA
SEE973024157503,ABR925925175896,Solareinheit,Photovoltaikkraftwerk Groß Dölln 1 GmbH ＆ Co. KG,Volleinspeisung,15778.125,17268,Uckermark,Templin,NA,NA,Brandenburg,13.533333,53.033333,2012,NA,FALSE,Freiflächensolaranlage,191250,NA,NA
SEE945799653733,ABR991366578862,Solareinheit,Solarpark Weeze,Volleinspeisung,14074.37,47652,Kleve,Weeze,Flughafen-Ring,60,Nordrhein-Westfalen,6.151,51.605,2011,NA,FALSE,Freiflächensolaranlage,59840,NA,NA
SEE917243352219,ABR938250177251,Solareinheit,Photovoltaikkraftwerk Groß Dölln 7 GmbH ＆ Co. KG,Volleinspeisung,13209,17268,Oberhavel,Templin,NA,NA,Brandenburg,13.533333,53.033333,2012,NA,FALSE,Freiflächensolaranlage,155400,NA,NA
SEE979681487137,ABR957771881706,Solareinheit,Photovoltaikkraftwerk Groß Dölln 8 GmbH ＆ Co. KG,Volleinspeisung,13158,17268,Oberhavel,Templin,NA,NA,Brandenburg,13.533333,53.033333,2012,NA,FALSE,Freiflächensolaranlage,154800,NA,NA
SEE998919844580,ABR998292963120,Solareinheit,Nivelstein,Volleinspeisung,10455,52134,Städteregion Aachen,Herzogenrath,Nivelsteiner Weg,4,Nordrhein-Westfalen,6.079548,50.888206,2012,NA,FALSE,Freiflächensolaranlage,43562,NA,NA
SEE942112278789,ABR981156869577,Solareinheit,Neuhardenberg 2,Volleinspeisung,11353.72,15320,Märkisch-Oderland,Neuhardenberg,Oderbruchstraße,24,Brandenburg,14.221,52.61,2012,NA,FALSE,Freiflächensolaranlage,47334,NA,NA
SEE943718276971,ABR928888038703,Solareinheit,LHI GII1 PV Neuhardenberg 2054 GmbH ＆ Co. KG,Volleinspeisung,19688.64,15320,Märkisch-Oderland,Neuhardenberg,Oderbruchstraße,24,Brandenburg,14.237,52.6099,2012,NA,FALSE,Freiflächensolaranlage,82704,NA,NA
SEE905164264155,ABR904715295938,Solareinheit,LHI Solar Georgsdorf GmbH ＆ Co. KG,Volleinspeisung,24715.46,49828,Grafschaft Bentheim,Georgsdorf,NA,NA,Niedersachsen,7.080029,52.35,2011,NA,FALSE,Freiflächensolaranlage,106304,NA,NA
SEE931333069108,ABR969167401085,Solareinheit,PVF Eggersdorf,Volleinspeisung,20032.32,15374,Märkisch-Oderland,Müncheberg,Am Flugplatz,NA,Brandenburg,14.077,52.479,2012,NA,FALSE,Freiflächensolaranlage,83820,NA,NA
SEE972278345032,ABR945155137631,Solareinheit,PVF Elsterheide,Volleinspeisung,20004.4,02979,Bautzen,Elsterheide,NA,NA,Sachsen,14.305,51.473,2011,NA,FALSE,Freiflächensolaranlage,86960,NA,NA
SEE918759648001,ABR926305335534,Solareinheit,PVF Gotha,Volleinspeisung,11763.28,99867,Gotha,Gotha,Goldene Aue,NA,Thüringen,10.666931,50.939856,2011,NA,FALSE,Freiflächensolaranlage,21584,NA,NA
SEE967011719744,ABR939709849743,Solareinheit,PVF Missen,Teileinspeisung (einschließlich Eigenverbrauch),10051.5,03226,Oberspreewald-Lausitz,Vetschau,Missener Hauptstraße,900,Brandenburg,14.059,51.718,2010,NA,FALSE,Freiflächensolaranlage,126600,NA,NA
SEE982010059547,ABR956261748123,Solareinheit,PVF Stendal,Volleinspeisung,13543,39576,Stendal,Stendal,Staatser Siedlung,NA,Sachsen-Anhalt,11.624,52.537,2012,NA,FALSE,Freiflächensolaranlage,67584,NA,NA
SEE946887423597,ABR979026895696,Solareinheit,PVF Ahlhorn IV,Volleinspeisung,13558.56,26197,Oldenburg,Großenkneten,Vechtaer Straße,35,Niedersachsen,8.225398,52.885579,2012,NA,FALSE,Freiflächensolaranlage,57696,NA,NA
SEE902364169808,ABR979026895696,Solareinheit,PVF Ahlhorn V,Volleinspeisung,12900.96,26197,Oldenburg,Großenkneten,Vechtaer Straße,35,Niedersachsen,8.242255,52.886889,2012,NA,FALSE,Freiflächensolaranlage,54144,NA,NA
SEE985063369878,ABR958836614000,Solareinheit,LHI Solar Prenzlau GmbH ＆ Co. KG,Volleinspeisung,15704.7,17291,Uckermark,Prenzlau,Erlenweg,NA,Brandenburg,13.881687,53.317221,2011,NA,FALSE,Freiflächensolaranlage,37540,NA,NA
SEE945903064332,ABR982137720580,Solareinheit,SP Schleizer Dreieck,Volleinspeisung,11060.6,07907,Saale-Orla-Kreis,Schleiz,Am Schleizer Dreieck,1,Thüringen,11.82035,50.56217,2012,NA,FALSE,Freiflächensolaranlage,46580,NA,NA
SEE919307306176,ABR902397811767,Solareinheit,Photovoltaikkraftwerk Groß Dölln 2 GmbH ＆ Co. KG,Volleinspeisung,17837.25,17268,Uckermark,Templin,NA,NA,Brandenburg,13.533333,53.033333,2012,NA,FALSE,Freiflächensolaranlage,209850,NA,NA
SEE964261993252,ABR969476746631,Solareinheit,Photovoltaikkraftwerk Groß Dölln 3 GmbH ＆ Co. KG,Volleinspeisung,16014.75,17268,Uckermark,Templin,NA,NA,Brandenburg,13.533333,53.033333,2012,NA,FALSE,Freiflächensolaranlage,189225,NA,NA
SEE927751015216,ABR915766146797,Solareinheit,Photovoltaikkraftwerk Groß Dölln 4 GmbH ＆ Co. KG,Volleinspeisung,18217.5,17268,Uckermark,Templin,NA,NA,Brandenburg,13.533333,53.033333,2012,NA,FALSE,Freiflächensolaranlage,208200,NA,NA
SEE977297150834,ABR941820351357,Solareinheit,Photovoltaikkraftwerk Groß Dölln 5 GmbH ＆ Co. KG,Volleinspeisung,18117.75,17268,Uckermark,Templin,NA,NA,Brandenburg,13.533333,53.033333,2012,NA,FALSE,Freiflächensolaranlage,213150,NA,NA
SEE917373442484,ABR977170715327,Solareinheit,Photovoltaikkraftwerk Groß Dölln 6 GmbH ＆ Co. KG,Volleinspeisung,16090.5,17268,Oberhavel,Templin,NA,NA,Brandenburg,13.533333,53.033333,2012,NA,FALSE,Freiflächensolaranlage,189300,NA,NA
SEE920959526089,ABR902055101117,Solareinheit,Solarkraftwerk Reckahn I GmbH ＆ Co. KG (West),Volleinspeisung,12756.5,14797,Potsdam-Mittelmark,Kloster Lehnin,NA,NA,Brandenburg,12.561111,52.345833,2010,NA,FALSE,Freiflächensolaranlage,164600,NA,NA
SEE900525748664,ABR906495678987,Solareinheit,Solarkraftwerk Reckahn II GmbH ＆ Co. KG,Volleinspeisung,13314.5,14797,Potsdam-Mittelmark,Kloster Lehnin,NA,NA,Brandenburg,12.544444,52.345278,2010,NA,FALSE,Freiflächensolaranlage,171800,NA,NA
SEE947114059404,ABR901051801731,Solareinheit,Solarkraftwerk Rentweinsdorf GmbH ＆ Co. KG,Volleinspeisung,12585,96184,Haßberge,Rentweinsdorf,NA,NA,Bayern,10.831667,50.069167,2010,NA,FALSE,Freiflächensolaranlage,167800,NA,NA
SEE951338954377,ABR917275816949,Solareinheit,Giebelstadt,Volleinspeisung,13396,97232,Würzburg,Giebelstadt,Am Sportplatz,0,Bayern,9.951671,49.648159,2011,NA,FALSE,Freiflächensolaranlage,56488,NA,NA
SEE932104531640,ABR917800677144,Solareinheit,ASO-581280-11,Volleinspeisung,14889,97232,Würzburg,Giebelstadt,Am Sportplatz,NA,Bayern,9.969858,49.650928,2011,NA,FALSE,Freiflächensolaranlage,62928,NA,NA
SEE993157584229,ABR970043772571,Solareinheit,PV Weesow-Willmersdorf 1,Teileinspeisung (einschließlich Eigenverbrauch),62147.28,16356,Barnim,Werneuchen,NA,NA,Brandenburg,13.690069,52.647481,2020,NA,FALSE,Freiflächensolaranlage,153504,NA,NA
SEE968318041132,ABR910952798552,Solareinheit,Altenburg Flughafen,Volleinspeisung,12146.4,04603,Altenburger Land,Nobitz,Am Flughafen,1,Thüringen,12.515538,50.982709,2012,NA,FALSE,Freiflächensolaranlage,146880,NA,NA
SEE943408490595,ABR975732884801,Solareinheit,Solarpark Amsdorf III,Volleinspeisung,15276.48,06317,Mansfeld-Südharz,Seegebiet Mansfelder Land,Chausseestraße,1,Sachsen-Anhalt,11.734265,51.459044,2012,NA,FALSE,Freiflächensolaranlage,65832,NA,NA
SEE995784208028,ABR920797990516,Solareinheit,ASO-775089-12,Volleinspeisung,19921.92,07580,Greiz,Ronneburg,Weidaer Straße,2,Thüringen,12.181256,50.847503,2012,NA,FALSE,Freiflächensolaranlage,83008,NA,NA
SEE943379261293,ABR969551097450,Solareinheit,IFE Solarpark Fliegerhorst Oldenburg,Volleinspeisung,13897.43,26127,Oldenburg (Oldb),Oldenburg,NA,NA,Niedersachsen,8.17085,53.179303,2011,NA,FALSE,Freiflächensolaranlage,59136,NA,NA
SEE924482046533,ABR983093904298,Solareinheit,LHI Solar Deutschland VI GmbH ＆ Co. KG (PVA Welzow),Volleinspeisung,10160.5,03103,Oberspreewald-Lausitz,Neu-Seeland,Solarpark,901,Brandenburg,14.14,51.59,2011,NA,FALSE,Freiflächensolaranlage,121753,NA,NA
SEE916748906903,ABR934210259081,Solareinheit,Solarpark Sukow GmbH ＆ Co. KG,Volleinspeisung,10283.52,19079,Ludwigslust-Parchim,Sukow,NA,NA,Mecklenburg-Vorpommern,11.568262,53.556021,2011,NA,FALSE,Freiflächensolaranlage,44544,NA,NA
SEE920461005324,ABR949345625908,Solareinheit,Solarpark Haidlfing,Volleinspeisung,11232.96,94522,Dingolfing-Landau,Wallersdorf,Untere Bachstraße,31,Bayern,12.730149,48.733144,2012,NA,FALSE,Freiflächensolaranlage,46804,NA,NA
SEE946823510343,ABR917613891058,Solareinheit,PVA Litten 2,Volleinspeisung,18879.72,02627,Bautzen,Kubschütz,NA,NA,Sachsen,14.511394,51.195446,2012,NA,FALSE,Freiflächensolaranlage,79032,NA,NA
SEE997751373470,ABR902030317700,Solareinheit,PVA Delitzsch 2,Volleinspeisung,14532.48,04509,Nordsachsen,Delitzsch,Carl-Friedrich-Benz-Straße,903,Sachsen,12.285,51.507,2012,NA,FALSE,Freiflächensolaranlage,60551,NA,NA
SEE955748019633,ABR912377203765,Solareinheit,PVA Litten 1,Volleinspeisung,19451.04,02627,Bautzen,Kubschütz,NA,NA,Sachsen,14.523158,51.196779,2012,NA,FALSE,Freiflächensolaranlage,79320,NA,NA
SEE964878931654,ABR934719925838,Solareinheit,PVA Delitzsch 1,Volleinspeisung,17559.36,04509,Nordsachsen,Delitzsch,Carl-Friedrich-Benz-Strasse,999,Sachsen,12.285,51.507,2012,NA,FALSE,Freiflächensolaranlage,73821,NA,NA
SEE995781422496,ABR963421776391,Solareinheit,PVA Walddrehna 2.1,Volleinspeisung,15995.52,15926,Dahme-Spreewald,Heideblick,Solarpark,902,Brandenburg,13.598514,51.776038,2012,NA,FALSE,Freiflächensolaranlage,129552,NA,NA
SEE968881194006,ABR945001774560,Solareinheit,PVA Walddrehna 2.2,Volleinspeisung,14371.2,15926,Dahme-Spreewald,Heideblick,Solarpark,903,Brandenburg,13.603344,51.776134,2012,NA,FALSE,Freiflächensolaranlage,115560,NA,NA
SEE904573377807,ABR930494644070,Solareinheit,PVA Walddrehna 2.3,Volleinspeisung,14857.44,15926,Dahme-Spreewald,Heideblick,NA,NA,Brandenburg,13.596162,51.775277,2012,NA,FALSE,Freiflächensolaranlage,117408,NA,NA
SEE926640800155,ABR925165991812,Solareinheit,PVWS (W4),Volleinspeisung,12798.81,86833,Unterallgäu,Ettringen,Kapellenstraße,880,Bayern,10.700329,48.083745,2019,NA,FALSE,Freiflächensolaranlage,37098,NA,NA
SEE928640042757,ABR984986166601,Solareinheit,Solarpark Finowtower 1,Volleinspeisung,24240.6,16227,Barnim,Eberswalde,Lausitzer Straße,NA,Brandenburg,13.697538,52.822032,2010,NA,FALSE,Freiflächensolaranlage,89780,NA,NA
SEE928085185002,ABR968986594091,Solareinheit,Solaranlage Telzer Plan II,Volleinspeisung,10799.8,15749,Dahme-Spreewald,Mittenwalde,NA,NA,Brandenburg,13.514649,52.244747,2020,NA,FALSE,Freiflächensolaranlage,32582,NA,NA
SEE941353893195,ABR945676722651,Solareinheit,Solaranlage Hinterste Plan II,Volleinspeisung,13772.52,15749,Dahme-Spreewald,Mittenwalde,NA,NA,Brandenburg,13.534675,52.250563,2020,NA,FALSE,Freiflächensolaranlage,41112,NA,NA
SEE966697017038,ABR974240095938,Solareinheit,PV Rothenburg IV GmbH ＆ Co. KG,Volleinspeisung,15206.4,02929,Görlitz,Rothenburg,NA,NA,Sachsen,14.956351,51.370237,2012,NA,FALSE,Freiflächensolaranlage,63260,NA,NA
SEE958623948233,ABR981471577676,Solareinheit,PV Perleberg West GmbH ＆ Co. KG,Volleinspeisung,15377.04,19348,Prignitz,Sükow,NA,NA,Brandenburg,11.815768,53.073698,2012,NA,FALSE,Freiflächensolaranlage,64462,NA,NA
SEE979424472215,ABR992471447470,Solareinheit,PV Perleberg Ost GmbH ＆ Co. KG,Volleinspeisung,18978.84,19348,Prignitz,Perleberg,NA,NA,Brandenburg,11.830796,53.070337,2012,NA,FALSE,Freiflächensolaranlage,79678,NA,NA
SEE924229604835,ABR935635392131,Solareinheit,PVA Neuhardenberg Flugplatz,Volleinspeisung,20071.32,15320,Märkisch-Oderland,Neuhardenberg,Oderbruchstraße,24 A,Brandenburg,14.245872,52.616505,2012,NA,FALSE,Freiflächensolaranlage,83712,NA,NA
SEE995897954607,ABR905506707067,Solareinheit,PVA Neuhardenberg Flugplatz,Volleinspeisung,22050.24,15320,Märkisch-Oderland,Neuhardenberg,Oderbruchstraße,24 A,Brandenburg,14.245872,52.616505,2012,NA,FALSE,Freiflächensolaranlage,90048,NA,NA
SEE909841432714,ABR935433814590,Solareinheit,PVA Neuhardenberg Flugplatz,Volleinspeisung,19880.64,15320,Märkisch-Oderland,Neuhardenberg,Oderbruchstraße,24 A,Brandenburg,14.245872,52.616505,2012,NA,FALSE,Freiflächensolaranlage,82752,NA,NA
SEE945658837960,ABR920728052634,Solareinheit,PVA Sietzsch,Volleinspeisung,11907.06,06188,Saalekreis,Landsberg,Delitzscher Straße,902,Sachsen-Anhalt,12.191098,51.492283,2010,NA,FALSE,Freiflächensolaranlage,52184,NA,NA
SEE928693533592,ABR925282269528,Solareinheit,PVA Jüterbog,Volleinspeisung,10124.8,14913,Teltow-Fläming,Jüterbog,Bülowstraße,NA,Brandenburg,13.040528,52.001083,2012,NA,FALSE,Freiflächensolaranlage,40960,NA,NA
SEE996693927857,ABR943085012868,Solareinheit,Solarpark Barth,Volleinspeisung,10242.96,18356,Vorpommern-Rügen,Barth,Hölzern-Kreuz-Weg,11,Mecklenburg-Vorpommern,12.700972,54.374694,2012,NA,FALSE,Freiflächensolaranlage,41808,NA,NA
SEE949284966520,ABR902115819686,Solareinheit,Parsberg Eichensee 2,Volleinspeisung,20596.96,92331,Neumarkt i.d. OPf.,Parsberg,NA,NA,Bayern,11.757634,49.225747,2020,NA,FALSE,Freiflächensolaranlage,71438,NA,NA
SEE948404276969,ABR952939149520,Solareinheit,Solarpark Güstrow 1 T1,Volleinspeisung,10454.4,18273,Rostock,Güstrow,Glasewitzer Chaussee,NA,Mecklenburg-Vorpommern,12.233111,53.79,2012,NA,FALSE,Freiflächensolaranlage,43560,NA,NA
SEE907712359009,ABR952939149520,Solareinheit,Solarpark Güstrow 1 T2,Volleinspeisung,10454.4,18273,Rostock,Güstrow,Glasewitzer Chaussee,NA,Mecklenburg-Vorpommern,12.233111,53.79,2012,NA,FALSE,Freiflächensolaranlage,43560,NA,NA
SEE951109851362,ABR954609267824,Solareinheit,Solarpark Petzenbach,Volleinspeisung,10001,94428,Dingolfing-Landau,Eichendorf,NA,NA,Bayern,12.878979,48.622143,2010,NA,FALSE,Freiflächensolaranlage,45608,NA,NA
SEE955191508845,ABR913776064681,Solareinheit,Solarkraftwerk Barderup,Volleinspeisung,18742,24988,Schleswig-Flensburg,Oeversee,Frörup-Mühle,1,Schleswig-Holstein,9.386101,54.729552,2012,NA,FALSE,Freiflächensolaranlage,76956,NA,NA
SEE959437375185,ABR932466529040,Solareinheit,Solarpark Jännersdorf Nord,Volleinspeisung,14903.945,16945,Prignitz,Marienfließ,NA,NA,Brandenburg,12.056083,53.341528,2012,NA,FALSE,Freiflächensolaranlage,61679,NA,NA
SEE907600255413,ABR932466529040,Solareinheit,Solarpark Jännersdorf Süd,Volleinspeisung,25559.14,16945,Prignitz,Marienfließ,Jännersdorfer Ring,34,Brandenburg,12.056083,53.341528,2012,NA,FALSE,Freiflächensolaranlage,105873,NA,NA
SEE958697647735,ABR998066328629,Solareinheit,Hohenfels Fichten 2,Volleinspeisung,10085.35,92366,Neumarkt i.d. OPf.,Hohenfels,NA,NA,Bayern,11.82113,49.199474,2020,NA,FALSE,Freiflächensolaranlage,36674,NA,NA
SEE973883749253,ABR933639176153,Solareinheit,Solarpark Königsbrück,Volleinspeisung,11956.8,01936,Bautzen,Königsbrück,Hoyerswerdaer Straße,NA,Sachsen,13.894278,51.287139,2012,NA,FALSE,Freiflächensolaranlage,49820,NA,NA
SEE950187537618,ABR921579067938,Solareinheit,Solarpark Köthen 4,Volleinspeisung,12704.39,06366,Anhalt-Bitterfeld,Köthen,Am Flugplatz,901,Sachsen-Anhalt,11.972667,51.723361,2010,NA,FALSE,Freiflächensolaranlage,60524,NA,NA
SEE927057280349,ABR962491270815,Solareinheit,Solarpark Krempendorf I,Volleinspeisung,24336.4,16945,Prignitz,Marienfließ,NA,NA,Brandenburg,12.200028,53.337139,2012,NA,FALSE,Freiflächensolaranlage,101024,NA,NA
SEE966648447259,ABR936738238487,Solareinheit,PV Stephansposching-Freundorf,Volleinspeisung,10595.52,94569,Deggendorf,Stephansposching,NA,NA,Bayern,12.84493,48.797935,2012,NA,FALSE,Freiflächensolaranlage,44148,NA,NA
SEE936011082523,ABR960598994238,Solareinheit,Solarpark Schependorf Ia,Volleinspeisung,11304.04,18246,Rostock,Baumgarten,NA,NA,Mecklenburg-Vorpommern,11.85,53.818,2012,NA,FALSE,Freiflächensolaranlage,47190,NA,NA
SEE968366210313,ABR946626587306,Solareinheit,Gaarz 2.1,Volleinspeisung,70863.87,19395,Ludwigslust-Parchim,Plau am See,NA,NA,Mecklenburg-Vorpommern,12.243754,53.412069,2021,NA,FALSE,Freiflächensolaranlage,214739,NA,NA
SEE937814455767,ABR983328658583,Solareinheit,Solarpark Heiligenfelde,Volleinspeisung,10213.31,39606,Stendal,Altmärkische Höhe,NA,NA,Sachsen-Anhalt,11.513062,52.824899,2024,NA,FALSE,Freiflächensolaranlage,17746,NA,NA
SEE921096887705,ABR975327387816,Solareinheit,PV Freiflächenanlage Elmenhorst,Volleinspeisung,12573.44,21493,Herzogtum Lauenburg,Elmenhorst,Kesselflickerstraße,907,Schleswig-Holstein,10.504526,53.539908,2012,NA,FALSE,Freiflächensolaranlage,103664,NA,NA
SEE928365318014,ABR927176955364,Solareinheit,Solarpark Wülknitz,Volleinspeisung,11174.6,01609,Meißen,Wülknitz,Siedlung,1a,Sachsen,13.389319,51.368742,2010,NA,FALSE,Freiflächensolaranlage,35153,NA,NA
SEE984290672089,ABR933074795872,Solareinheit,PVA Krughütte 4,Teileinspeisung (einschließlich Eigenverbrauch),19833.88,06311,Mansfeld-Südharz,Helbra,Solarpark,902,Sachsen-Anhalt,11.510252,51.544791,2012,NA,FALSE,Freiflächensolaranlage,5082,NA,NA
SEE978697638670,ABR901429666832,Solareinheit,PVA-Straßkirchen,Volleinspeisung,54356,94342,Straubing-Bogen,Straßkirchen,Gänsdorf,1,Bayern,12.757375,48.804628,2009,NA,FALSE,Freiflächensolaranlage,271700,NA,NA
SEE908715873189,ABR921845180163,Solareinheit,Ganzlin I,Volleinspeisung,31209.4,19395,Ludwigslust-Parchim,Ganzlin,Am Fuchsberg,1,Mecklenburg-Vorpommern,12.268927,53.382053,2020,NA,FALSE,Freiflächensolaranlage,85304,NA,NA
SEE950140011476,ABR973221189499,Solareinheit,Solarpark Tagewerben,Volleinspeisung,10744.8,06667,Burgenlandkreis,Weißenfels,Am Solarpark,902 r,Sachsen-Anhalt,11.95624,51.236175,2012,NA,FALSE,Freiflächensolaranlage,44770,NA,NA
SEE919184620839,ABR952529761408,Solareinheit,Helbra,Teileinspeisung (einschließlich Eigenverbrauch),11499.6,06308,Mansfeld-Südharz,Klostermansfeld,Bahnhofstraße,903 Z,Sachsen-Anhalt,11.498786,51.580611,2010,NA,FALSE,Freiflächensolaranlage,50591,NA,NA
SEE981794593698,ABR950827191781,Solareinheit,Solarpark Basepohl I,Volleinspeisung,11162.88,17153,Mecklenburgische Seenplatte,Stavenhagen,Basepohl am Wald,NA,Mecklenburg-Vorpommern,12.953306,53.744261,2011,NA,FALSE,Freiflächensolaranlage,58752,NA,NA
SEE967391745555,ABR980891050509,Solareinheit,DE00.005 Preschen,Volleinspeisung,22030.825,03159,Spree-Neiße,Neiße-Malxetal,Am Groß Schacksdorfer Wald,2 z,Brandenburg,14.632017,51.659128,2012,NA,FALSE,Freiflächensolaranlage,90933,NA,NA
SEE955907873113,ABR951831554296,Solareinheit,Energiepark Neuhardenberg,Volleinspeisung,22525.8,15320,Märkisch-Oderland,Neuhardenberg,Oderbruchstraße,24,Brandenburg,14.247127,52.609919,2012,NA,FALSE,Freiflächensolaranlage,90120,NA,NA
SEE958497757566,ABR971239652738,Solareinheit,Solarpark Linslerhof GmbH ＆ Co KG,Volleinspeisung,10421.86,66802,Saarlouis,Überherrn,Linslerhof,1,Saarland,6.731108,49.252438,2012,NA,FALSE,Freiflächensolaranlage,43944,NA,NA
SEE994444650177,ABR982552350225,Solareinheit,PV_NBO,Volleinspeisung,10000.08,09627,Mittelsachsen,Bobritzsch-Hilbersdorf,NA,NA,Sachsen,13.41339,50.912559,2021,NA,FALSE,Freiflächensolaranlage,26316,NA,NA
SEE938861760248,ABR968363349054,Solareinheit,Solarpark Ammerland,Volleinspeisung,20835.32,26215,Ammerland,Wiefelstede,An den Eichen,NA,Niedersachsen,8.155151,53.181233,2011,NA,FALSE,Freiflächensolaranlage,78888,NA,NA
SEE907543305091,ABR943684247036,Solareinheit,Rothenburg I,Volleinspeisung,20492.7,02929,Görlitz,Rothenburg,Friedensstraße,105 a,Sachsen,14.957973,51.356052,2009,NA,FALSE,Freiflächensolaranlage,253634,NA,NA
SEE900221780579,ABR959037433216,Solareinheit,Helmeringen I,Volleinspeisung,10026.72,89415,Dillingen a.d. Donau,Lauingen,Hygstetter Weg,990,Bayern,10.416444,48.539235,2008,NA,FALSE,Freiflächensolaranlage,135648,NA,NA
SEE941102833571,ABR935937544702,Solareinheit,PVA Senftenberg VI,Volleinspeisung,15733.68,01968,Oberspreewald-Lausitz,Brieske,Franz-Mehring-Straße,998 U,Brandenburg,13.970416,51.51064,2011,NA,FALSE,Freiflächensolaranlage,66960,NA,NA
SEE918813007744,ABR976682594567,Solareinheit,PVA Senftenberg V,Volleinspeisung,15688.56,01968,Oberspreewald-Lausitz,Brieske,Franz-Mehring-Straße,998 U,Brandenburg,13.970416,51.51064,2011,NA,FALSE,Freiflächensolaranlage,66768,NA,NA
SEE903230115301,ABR972141364658,Solareinheit,Senftenberg IV,Volleinspeisung,23596.56,01968,Oberspreewald-Lausitz,Brieske,Franz-Mehring-Straße,998 U,Brandenburg,13.970417,51.510639,2011,NA,FALSE,Freiflächensolaranlage,100416,NA,NA
SEE997078195229,ABR905094679005,Solareinheit,Zerbst 2,Volleinspeisung,12151,39261,Anhalt-Bitterfeld,Zerbst,Deetzer Str.,NA,Sachsen-Anhalt,12.135443,51.999785,2011,NA,FALSE,Freiflächensolaranlage,51696,NA,NA
SEE963472710849,ABR950147924274,Solareinheit,Solarpark Brandenburg (Havel),Volleinspeisung,18647.017,14770,Brandenburg an der Havel,Brandenburg,NA,NA,Brandenburg,12.519307,52.403087,2010,NA,FALSE,Freiflächensolaranlage,80978,NA,NA
SEE995934595527,ABR946569251166,Solareinheit,Solarpark Vilseck,Volleinspeisung,10017.46,92249,Amberg-Sulzbach,Vilseck,Heringnohe,1,Bayern,11.752435,49.62916,2010,NA,FALSE,Freiflächensolaranlage,44198,NA,NA
SEE925933964901,ABR974647374612,Solareinheit,PV Eiche III,Volleinspeisung,10866.96,16356,Barnim,Ahrensfelde,Mehrower Weg,1,Brandenburg,13.601077,52.564648,2010,NA,FALSE,Freiflächensolaranlage,51840,NA,NA
SEE936770712563,ABR922256867018,Solareinheit,Thüngen,Volleinspeisung,18737.95,97289,Main-Spessart,Thüngen,NA,NA,Bayern,9.854161,49.956988,2010,NA,FALSE,Freiflächensolaranlage,84986,NA,NA
SEE978179056275,ABR959129895748,Solareinheit,Solarpark Mengkofen,Volleinspeisung,21720,84152,Dingolfing-Landau,Mengkofen,NA,NA,Bayern,12.385041,48.699875,2009,NA,FALSE,Freiflächensolaranlage,99050,NA,NA
SEE919575370664,ABR946185373426,Solareinheit,Solarpark Schornhof (J05.1) - P10-031,Volleinspeisung,20401.98,86562,Neuburg-Schrobenhausen,Berg im Gau,NA,NA,Bayern,11.276223,48.653043,2020,NA,FALSE,Freiflächensolaranlage,58176,NA,NA
SEE908707111015,ABR947260383347,Solareinheit,Solarpark Alttrebbin,Teileinspeisung (einschließlich Eigenverbrauch),150983.04,15320,Märkisch-Oderland,Neutrebbin,NA,NA,Brandenburg,14.239078,52.693698,2022,NA,FALSE,Freiflächensolaranlage,345072,NA,NA
SEE936162158023,ABR930958989624,Solareinheit,Solarpark Gottesgabe,Teileinspeisung (einschließlich Eigenverbrauch),153131.42,15320,Märkisch-Oderland,Neuhardenberg,NA,NA,Brandenburg,14.189378,52.639404999999996,2022,NA,FALSE,Freiflächensolaranlage,350064,NA,NA
SEE915086624111,ABR908518924590,Solareinheit,RCP Solarpark Barth,Volleinspeisung,11022.3,18314,Vorpommern-Rügen,Kenz-Küstrow,Bahnhofstr.,0,Mecklenburg-Vorpommern,12.712578,54.343515,2012,NA,FALSE,Freiflächensolaranlage,45360,NA,NA
SEE996159424036,ABR975517692973,Solareinheit,Senftenberg VII,Volleinspeisung,23043.96,01968,Oberspreewald-Lausitz,Brieske,Franz-Mehring-Straße,998 U,Brandenburg,13.970696,51.510494,2011,NA,FALSE,Freiflächensolaranlage,97296,NA,NA
SEE974926220654,ABR991650297257,Solareinheit,Solarpark Roitzsch,Teileinspeisung (einschließlich Eigenverbrauch),12640.41,06809,Anhalt-Bitterfeld,Roitzsch,An der B 100,901,Sachsen-Anhalt,12.244917,51.581278,2011,NA,FALSE,Freiflächensolaranlage,45849,NA,NA
SEE971711684141,ABR918899642983,Solareinheit,PVA Dallgow-Döberitz,Volleinspeisung,20956.32,14612,Havelland,Falkensee,Schönwalder Straße,88 b,Brandenburg,13.11475,52.532512,2011,NA,FALSE,Freiflächensolaranlage,88656,NA,NA
SEE996455607225,ABR970043772571,Solareinheit,PV Weesow-Willmersdorf 2,Teileinspeisung (einschließlich Eigenverbrauch),61838.4,16356,Barnim,Werneuchen,NA,NA,Brandenburg,13.700882,52.646883,2020,NA,FALSE,Freiflächensolaranlage,153504,NA,NA
