nr_MASTR,nr_betreiber,energie_type,name,einspeisung,leistung_brutto,plz,landkreis,ort,strasse,hausnummer,bundesland,laenge,breite,jahr_inbetriebnahme,jahr_stillgelegt,stillgelegt,energietraeger,anzahl_einheiten,name_KW,nr_KW
SEE913195022217,ABR915969729179,Solareinheit,PVA Borg I,Volleinspeisung,20000,18311,Vorpommern-Rügen,Ribnitz-Damgarten,NA,NA,Mecklenburg-Vorpommern,12.389986,54.227087,2027,NA,FALSE,Freiflächensolaranlage,27827,NA,NA
SEE975254871655,ABR930163458601,Solareinheit,Anlage 1,Volleinspeisung,11305,25560,Steinburg,Bokhorst,NA,NA,Schleswig-Holstein,9.39405,54.050966,2026,NA,FALSE,Freiflächensolaranlage,18233,NA,NA
SEE968602857777,ABR920961928659,Solareinheit,wpd Solarpark Gerbstedt,Volleinspeisung,53478,06347,Mansfeld-Südharz,Gerbstedt,NA,NA,Sachsen-Anhalt,11.590896,51.623325,2025,NA,FALSE,Freiflächensolaranlage,86157,NA,NA
SEE960134093203,ABR991825358677,Solareinheit,Solarpark Wachow EEG,Volleinspeisung,19987.56,14641,Havelland,Nauen,NA,NA,Brandenburg,12.789202,52.559275,2026,NA,FALSE,Freiflächensolaranlage,32238,NA,NA
SEE986924558943,ABR939030696382,Solareinheit,PVA Bergzow,Volleinspeisung,17028,39307,Jerichower Land,Bergzow,NA,NA,Sachsen-Anhalt,12.0658,52.373,2025,NA,FALSE,Freiflächensolaranlage,30960,NA,NA
SEE901233927525,ABR981360400290,Solareinheit,PV Oberbürg 2,Volleinspeisung,28886.46,92345,Neumarkt i.d. OPf.,Dietfurt,NA,NA,Bayern,11.548034,49.074183,2025,NA,FALSE,Freiflächensolaranlage,64746,NA,NA
SEE967479113764,ABR981360400290,Solareinheit,PV Wimpasing,Volleinspeisung,12523.59,92345,Neumarkt i.d. OPf.,Dietfurt,NA,NA,Bayern,11.560621,49.087577,2025,NA,FALSE,Freiflächensolaranlage,27996,NA,NA
SEE920604874008,ABR981360400290,Solareinheit,PV Krustelfeld,Volleinspeisung,10977.6,92363,Neumarkt i.d. OPf.,Breitenbrunn,NA,NA,Bayern,11.554902,49.092771,2025,NA,FALSE,Freiflächensolaranlage,24510,NA,NA
SEE948109043415,ABR929462120418,Solareinheit,PIONEXT Solarpark Lonsheim Süd,Volleinspeisung,15012.06,55237,Alzey-Worms,Lonsheim,NA,NA,Rheinland-Pfalz,8.090538,49.791913,2025,NA,FALSE,Freiflächensolaranlage,24213,NA,NA
SEE929478328921,ABR908154282139,Solareinheit,PIONEXT Solarpark Hütschenhausen,Volleinspeisung,16108.47,66882,Kaiserslautern,Hütschenhausen,NA,NA,Rheinland-Pfalz,7.512714,49.437053,2026,NA,FALSE,Freiflächensolaranlage,25569,NA,NA
SEE994513623064,ABR918301828912,Solareinheit,PVA Kerzlin PPA,Volleinspeisung,63120.735,16845,Ostprignitz-Ruppin,Kerzlin,NA,NA,Brandenburg,12.642917,52.89975,2025,NA,FALSE,Freiflächensolaranlage,103005,NA,NA
SEE980509247307,ABR968623118598,Solareinheit,Morschen-Heina,Volleinspeisung,18436.32,34326,Schwalm-Eder-Kreis,Morschen,NA,NA,Hessen,9.58439,51.076783,2026,NA,FALSE,Freiflächensolaranlage,29736,NA,NA
SEE999817037746,ABR947878427648,Solareinheit,FFPVA Grauingen EEG,Volleinspeisung,19986.25,39359,Börde,Grauingen,NA,NA,Sachsen-Anhalt,11.234369,52.375748,2025,NA,FALSE,Freiflächensolaranlage,33875,NA,NA
SEE908750663189,ABR913803785305,Solareinheit,FFPVA Calvörde West EEG,Volleinspeisung,19986.25,39359,Börde,Calvörde,NA,NA,Sachsen-Anhalt,11.264782,52.389351,2025,NA,FALSE,Freiflächensolaranlage,33875,NA,NA
