nr_MASTR,name,betreiber,energietraeger,brennstoff,leistung_brutto,leistung_netto,jahr_inbetriebnahme,einspeisung,plz,ort,strasse,hausnummer,bundesland,stillgelegt,jahr_stillegung,stillegung_type
SEE927168175756,Pumpspeicherwerk Rönkhausen PSW1,Mark-E Aktiengesellschaft,Pumpspeicher,NA,69,69,2019,Volleinspeisung,57413,Finnentrop,Glinge,9,NordrheinWestfalen,FALSE,NA,NA
SEE927582792126,BESS Leuna 2,Münch NextGen Storage GmbH,Batteriespeicher,NA,50.94,46.332,2026,Volleinspeisung,06217,Merseburg,NA,NA,SachsenAnhalt,FALSE,NA,NA
SEE930982693153,Knapsack I - Gasturbine  GT11,Knapsack Power GmbH & Co. KG,Erdgas,ErdgasErdoelgas,295,295,2007,Volleinspeisung,50354,Hürth,Industriestraße,300,NordrheinWestfalen,FALSE,NA,NA
SEE939211785720,Dampfgeneratorturbine 1,OMV Deutschland Operations GmbH & Co. KG,Erdgas,ErdgasErdoelgas,8,7.8,1970,None,84489,Burghausen,Haiminger Straße,1,Bayern,FALSE,NA,NA
SEE914438115895,Heizkraftwerk Dieselstraße Block A,EVH GmbH,Erdgas,ErdgasErdoelgas,57.646,56.845,2020,Volleinspeisung,06130,Halle,Dieselstraße,141,SachsenAnhalt,FALSE,NA,NA
SEE922518617825,Biomasse-HKW 1 Kehl,Koehler Kehl GmbH,Biomasse,NA,8.6,7.94,2002,TeileinspeisungEigenverbrauch,77694,Kehl,Bremenwörtstraße,5,BadenWuerttemberg,FALSE,NA,NA
SEE923597137761,DT1,Sasol Germany GmbH,Waerme,Dampf,1.45,1.31,1993,TeileinspeisungEigenverbrauch,25541,Brunsbüttel,Fritz-Staiger-Straße,15,SchleswigHolstein,FALSE,NA,NA
SEE925158531827,Heizkraftwerk Dieselstraße NEA,EVH GmbH,Erdgas,ErdgasErdoelgas,1.56,1.541,2020,TeileinspeisungEigenverbrauch,06130,Halle,Dieselstraße,141,SachsenAnhalt,FALSE,NA,NA
SEE931406146903,LBG-1/599,Ruhr Oel GmbH – BP Gelsenkirchen,Sonstige Energietraeger (nicht erneuerbar),AndereGase,15,15,2025,Volleinspeisung,45896,Gelsenkirchen,Pawiker Straße,30,NordrheinWestfalen,FALSE,NA,NA
SEE931485815622,SWM Uppenborn 2 Gen2,Stadtwerke München GmbH,Wasser,NA,6,6,1951,TeileinspeisungEigenverbrauch,84184,Tiefenbach,Schloßberg,1,Bayern,FALSE,NA,NA
SEE935253303649,BMW Landshut KWK 6,BMW AG,Erdgas,ErdgasErdoelgas,4.473,4.3,2018,TeileinspeisungEigenverbrauch,84030,Landshut,Neidenburger Straße,13,Bayern,FALSE,NA,NA
SEE935645540645,KW Wyhlen Francis 07,naturenergie hochrhein AG,Wasser,NA,2.184,2.166,1912,TeileinspeisungEigenverbrauch,79639,Grenzach-Wyhlen,Am Wasserkraftwerk,NA,BadenWuerttemberg,FALSE,NA,NA
SEE927477486369,Scheuring K(Ro)3,Uniper Kraftwerke GmbH,Wasser,NA,4.5,4.067,1980,Volleinspeisung,86937,Scheuring,NA,NA,Bayern,FALSE,NA,NA
SEE941844408532,Großkayna GT2,envia THERM GmbH,Mineraloelprodukte,HeizoelLeicht,45.625,45.625,1994,Volleinspeisung,06242,Großkayna,Werkstraße,1,SachsenAnhalt,FALSE,NA,NA
SEE943210695102,DT30 GuD Süd Wolfsburg,VW Kraftwerk GmbH,Waerme,Dampf,37,36.2,2021,Volleinspeisung,38440,Wolfsburg,Berliner Ring,2,Niedersachsen,FALSE,NA,NA
SEE944172882906,Biogas BHKW Südzucker Rain,Südzucker AG,Biomasse,NA,1.364,1.364,2006,Volleinspeisung,86641,Rain,Donauwörther Straße,50,Bayern,FALSE,NA,NA
SEE947227591686,KW Laufenburg Maschine 7,naturenergie holding AG,Wasser,NA,10.6,10.442,1991,Volleinspeisung,5080,Laufenburg,Baslerstrasse,NA,NA,FALSE,NA,NA
SEE955634700423,WKW Säckingen M2,EnBW Energie Baden-Württemberg AG,Wasser,NA,23,23,1966,TeileinspeisungEigenverbrauch,79713,Bad Säckingen,Murger Weg,2,BadenWuerttemberg,FALSE,NA,NA
SEE957229968300,Niederaußem H,RWE Power AG,Braunkohle,Rohbraunkohlen,690,648,1974,TeileinspeisungEigenverbrauch,50129,Bergheim,Werkstr.,NA,NordrheinWestfalen,FALSE,2030,KVBG
SEE959025997980,Gasturbine 3 Jena,TEAG Thüringer Energie AG,Erdgas,ErdgasErdoelgas,40,39,1996,Volleinspeisung,07745,Jena,Rudolstädter Straße,41,Thueringen,FALSE,NA,NA
SEE961660070034,Block 4 Merkenich RheinEnergie,RheinEnergie AG,Erdgas,ErdgasErdoelgas,18.1,15.5,2010,Volleinspeisung,50769,Köln,Merkenicher Hauptstr.,2,NordrheinWestfalen,FALSE,NA,NA
SEE926027902403,P16,Caterpillar Energy Solutions,Erdgas,ErdgasErdoelgas,2.3,2.3,1939,TeileinspeisungEigenverbrauch,68167,Mannheim,Carl-Benz-Straße,1,BadenWuerttemberg,FALSE,NA,NA
SEE926313104276,"Kraftwerk VI, Block 62, GT621",SYNEQT GmbH,Erdgas,ErdgasErdoelgas,56.5,55.014,2022,Volleinspeisung,45772,Marl,Paul-Baumann-Straße,1,NordrheinWestfalen,FALSE,NA,NA
SEE926356200836,Prüfstand 4,Rolls-Royce Solutions Augsburg GmbH,Erdgas,None,4,3.95,2003,TeileinspeisungEigenverbrauch,86165,Augsburg,Dasinger Straße,11,Bayern,FALSE,NA,NA
