nr_MASTR,name,betreiber,energietraeger,brennstoff,leistung_brutto,leistung_netto,jahr_inbetriebnahme,einspeisung,plz,ort,strasse,hausnummer,bundesland,stillgelegt,jahr_stillegung,stillegung_type
SEE900600559253,RADAG Wehrkraftwerk,Rheinkraftwerk Albbruck-Dogern AG,Wasser,NA,28.45,24,2009,Volleinspeisung,79804,Dogern,Zollstraße,NA,BadenWuerttemberg,FALSE,NA,NA
SEE900838448145,MKW SAD Turbine 3,Zweckverband Müllverwertung Schwandorf,Abfall,AbfallHausmuellSiedlungsabfaelle,10,10,1982,Volleinspeisung,92421,Schwandorf,Alustraße,7,Bayern,FALSE,NA,NA
SEE901246020381,Gasmotor Bad Salzungen,TEAG Thüringer Energie AG,Erdgas,ErdgasErdoelgas,10.051,10.003,2018,Volleinspeisung,36433,Bad Salzungen,Langenfelder Straße,82,Thueringen,FALSE,NA,NA
SEE901752522324,Rheinhafen-Dampfkraftwerk RDK 8 Wasserturbine,EnBW Energie Baden-Württemberg AG,Wasser,NA,1.8,1.8,2014,TeileinspeisungEigenverbrauch,76189,Karlsruhe,Fettweisstraße,42,BadenWuerttemberg,FALSE,NA,NA
SEE905721866655,Fab Frechen,RWE Power AG,Braunkohle,Rohbraunkohlen,82,56,1962,TeileinspeisungEigenverbrauch,50226,Frechen,Ludwigstraße,NA,NordrheinWestfalen,FALSE,NA,NA
SEE915137840866,BHKW Hastedt Motor 05,swb Erzeugung AG & Co. KG,Erdgas,ErdgasErdoelgas,11.8096,11.6794,2022,Volleinspeisung,28207,Bremen,Hastedter Osterdeich,255,Bremen,FALSE,NA,NA
SEE900040609433,SSW-NT,R.D.M. Arnsberg GmbH,Steinkohle,Steinkohlen,7,6.14,1957,TeileinspeisungEigenverbrauch,59821,Arnsberg,Hellefelder Straße,51,NordrheinWestfalen,FALSE,NA,NA
SEE901022774309,illwerke vkw Lünerseewerk M4,EnBW Energie Baden-Württemberg AG,Pumpspeicher,NA,56,56,1957,Volleinspeisung,A-6774,Tschagguns,Latschaustrasse,NA,NA,FALSE,NA,NA
SEE901401382521,Tiefstack HKW 16bar-Turbine,Hamburger Energiewerke GmbH,Waerme,Waerme,5,4.9,2001,TeileinspeisungEigenverbrauch,22113,Hamburg,Andreas-Meyer-Straße,8,Hamburg,FALSE,NA,NA
SEE902114639810,Bitterfeld BHKW,envia THERM GmbH,Erdgas,ErdgasErdoelgas,2.478,2,2016,Volleinspeisung,06749,Bitterfeld-Wolfen,Parsevalstraße,3 B,SachsenAnhalt,FALSE,NA,NA
SEE909886576275,Weisweiler G VGT,RWE Power AG,Erdgas,ErdgasErdoelgas,202,200,2006,Volleinspeisung,52249,Eschweiler,Am Kraftwerk,17,NordrheinWestfalen,FALSE,NA,NA
SEE911630335144,BHKW 4,AZV Südholstein,Biomasse,NA,1.85,1.027,2012,TeileinspeisungEigenverbrauch,25491,Hetlingen,Am Heuhafen,2,SchleswigHolstein,FALSE,NA,NA
SEE912257091857,Turbine 7,MHKW Müllheizkraftwerk Frankfurt am Main GmbH,Abfall,AbfallHausmuellSiedlungsabfaelle,47.5,46.5,2005,TeileinspeisungEigenverbrauch,60439,Frankfurt,Heddernheimer Landstraße,157,Hessen,FALSE,NA,NA
SEE913609763316,Generator 1 Erdgas,Infraserv GmbH & Co. Wiesbaden KG,Erdgas,ErdgasErdoelgas,7.25,7,1981,Volleinspeisung,65203,Wiesbaden,Rheingaustraße,NA,Hessen,FALSE,NA,NA
SEE907703023742,IKW Batteriespeicher,ArcelorMittal Eisenhüttenstadt GmbH,Batteriespeicher,NA,1.08,1.08,2014,TeileinspeisungEigenverbrauch,15890,Eisenhüttenstadt,Jugendstraße,1,Brandenburg,FALSE,NA,NA
SEE916115669219,Küstenkraftwerk K.I.E.L Motor 11,Stadtwerke Kiel AG,Erdgas,ErdgasErdoelgas,9.571,9.456,2018,Volleinspeisung,24149,Kiel,Hasselfelde,30,SchleswigHolstein,FALSE,NA,NA
SEE916609233650,DT Niehl 2 RheinEnergie,RheinEnergie AG,Waerme,Dampf,147.001,147,2005,Volleinspeisung,50735,Köln,Am Molenkopf,3,NordrheinWestfalen,FALSE,NA,NA
SEE901196452256,Turbine 4,essity Operations Mainz-Kostheim GmbH,Erdgas,ErdgasErdoelgas,7.18,6.71,1983,TeileinspeisungEigenverbrauch,55246,Mainz-Kostheim,Kommerzienrat-Disch-Brücke,1,Hessen,FALSE,NA,NA
SEE906231810480,GT1,ADM Hamburg Aktiengesellschaft,Erdgas,ErdgasErdoelgas,5.688,5.538,2013,TeileinspeisungEigenverbrauch,21107,Hamburg,Nippoldstraße,117,Hamburg,FALSE,NA,NA
SEE906385906152,W065-Gebäude 120 / BHKW Modul 04,Firma Mercedes-Benz AG Werk 050 HPC NC50 LN-Nr.: 17319765,Erdgas,ErdgasErdoelgas,4.3,4.2,2012,TeileinspeisungEigenverbrauch,40476,Düsseldorf,Rather Straße,51,NordrheinWestfalen,FALSE,NA,NA
SEE903779951637,"Motor-Heizkraftwerk Chemnitz-Süd, Motor 5",eins energie in sachsen GmbH & Co. KG,Erdgas,ErdgasErdoelgas,12.9,12.7314,2022,TeileinspeisungEigenverbrauch,09125,Chemnitz,Südstraße,1,Sachsen,FALSE,NA,NA
SEE903937301069,HKW Karcherstraße (GT4),SWK Stadtwerke Kaiserslautern Versorgungs-AG,Erdgas,ErdgasErdoelgas,5.1,5,1993,TeileinspeisungEigenverbrauch,67655,Kaiserslautern,Karcherstraße,28,RheinlandPfalz,FALSE,NA,NA
SEE903983424590,Kraftwerk Knapsack II,Statkraft Markets GmbH,Erdgas,ErdgasErdoelgas,450,430,2013,Volleinspeisung,50354,Hürth,Industriestraße,300,NordrheinWestfalen,FALSE,NA,NA
SEE904924198341,BioHKW II,Fernwärme Ulm GmbH,Biomasse,NA,5,4.442,2012,Volleinspeisung,89077,Ulm,Magirusstraße,21,BadenWuerttemberg,FALSE,NA,NA
SEE912224455828,"Motor-Heizkraftwerk Chemnitz-Süd, Motor 2",eins energie in sachsen GmbH & Co. KG,Erdgas,ErdgasErdoelgas,12.9,12.7314,2022,TeileinspeisungEigenverbrauch,09125,Chemnitz,Südstraße,1,Sachsen,FALSE,NA,NA
SEE915851127786,BHKW Schwarzer Weg,STAWAG – Stadt- und Städteregionswerke Aachen AG,Erdgas,ErdgasErdoelgas,22.535,21.505,2023,Volleinspeisung,52070,Aachen,Schwarzer Weg,19 b,NordrheinWestfalen,FALSE,NA,NA
SEE900549498521,HKW FFO GM4,Stadtwerke Frankfurt (Oder) GmbH,Erdgas,ErdgasErdoelgas,10.423,10.3584,2022,TeileinspeisungEigenverbrauch,15236,Frankfurt,Am Hohen Feld,4,Brandenburg,FALSE,NA,NA
SEE901440918859,RADAG M1,Rheinkraftwerk Albbruck-Dogern AG,Wasser,NA,27.94,27.94,1934,Volleinspeisung,79774,Albbruck,Kraftwerkstraße,34,BadenWuerttemberg,FALSE,NA,NA
SEE904165703137,GT1,BASF InfraService & Solutions Lausitz GmbH,Erdgas,ErdgasErdoelgas,52,51.35,1994,Volleinspeisung,01987,Schwarzheide,Schipkauer Straße,1,Brandenburg,FALSE,NA,NA
SEE914414538991,GuD Mitte GT12,BASF SE,Erdgas,ErdgasErdoelgas,206,204,2005,TeileinspeisungEigenverbrauch,67063,Ludwigshafen,Carl-Bosch-Straße,38,RheinlandPfalz,FALSE,NA,NA
SEE907524301289,T/G 15,OXEA Produktion GmbH & Co.KG,Mineraloelprodukte,AndereMineraloelprodukte,12,10,1954,TeileinspeisungEigenverbrauch,46147,Oberhausen,Otto-Roelen-Strasse,3,NordrheinWestfalen,FALSE,NA,NA
SEE910562646632,Motor 2,Biomethan Produktion Ottersberg GmbH,Biomasse,NA,1.048,1.048,2007,Volleinspeisung,28870,Ottersberg,Am Damm,26,Niedersachsen,FALSE,NA,other
SEE901516014812,Dampfturbine 1,Smurfit Westrock Herzberg Solid Board GmbH,Erdgas,ErdgasErdoelgas,2.84,2.64,1955,TeileinspeisungEigenverbrauch,37412,Herzberg,Andreasberger Straße,1,Niedersachsen,FALSE,NA,NA
SEE904076796426,Küstenkraftwerk K.I.E.L Motor 4,Stadtwerke Kiel AG,Erdgas,ErdgasErdoelgas,9.571,9.456,2018,Volleinspeisung,24149,Kiel,Hasselfelde,30,SchleswigHolstein,FALSE,NA,NA
SEE905939296770,Küstenkraftwerk K.I.E.L Motor 13,Stadtwerke Kiel AG,Erdgas,ErdgasErdoelgas,9.571,9.456,2018,Volleinspeisung,24149,Kiel,Hasselfelde,30,SchleswigHolstein,FALSE,NA,NA
SEE908658611688,HuR-IKW-G4,H&R Chemisch Pharmazeutische Spezialitäten GmbH,Erdgas,None,6.035,6.02,1977,TeileinspeisungEigenverbrauch,48499,Salzbergen,Neuenkirchener Straße,8,Niedersachsen,FALSE,NA,NA
SEE913795928759,SMAREG9 Freiberg,SMAREG 9 GmbH & Co. KG,Batteriespeicher,NA,20,20,2024,Volleinspeisung,09599,Freiberg,Knappenweg,1e,Sachsen,FALSE,NA,NA
SEE914179988338,Turbine 6,Enertec Hameln GmbH,Abfall,AbfallHausmuellSiedlungsabfaelle,4.25,2.55,1970,TeileinspeisungEigenverbrauch,31789,Hameln,Heinrich-Schoormann-Weg,1,Niedersachsen,FALSE,NA,NA
SEE914845982691,BESS Waltershausen,TS Carry 3 GmbH,Batteriespeicher,NA,10.35,10.35,2025,Volleinspeisung,99880,Waltershausen,NA,NA,Thueringen,FALSE,NA,NA
SEE900348277440,BHKW Hafen - Modul 4,Jäckering Mühlen- und Nährmittelwerke GmbH,Erdgas,ErdgasErdoelgas,2.19,2.173,2013,TeileinspeisungEigenverbrauch,59067,Hamm,Speicherstraße,15,NordrheinWestfalen,FALSE,NA,NA
SEE900364034072,Heizkraftwerk Heilbronn FHT 1,EnBW Energie Baden-Württemberg AG,Erdgas,ErdgasErdoelgas,6.5,6.5,2003,TeileinspeisungEigenverbrauch,74076,Heilbronn,Lichtenbergerstraße,23,BadenWuerttemberg,FALSE,NA,NA
SEE900452778307,GGT HO B,Salzgitter Flachstahl GmbH,Sonstige Energietraeger (nicht erneuerbar),NA,12,8.2,2012,TeileinspeisungEigenverbrauch,38239,Salzgitter,Eisenhüttenstraße,99,Niedersachsen,FALSE,NA,NA
SEE900664653232,Turbine 1,AMK-Abfallentsorgungsgesellschaft des Märkischen Kreises mbH,Abfall,AbfallHausmuellSiedlungsabfaelle,13,10.7,1996,TeileinspeisungEigenverbrauch,58636,Iserlohn,Giesestraße,10,NordrheinWestfalen,FALSE,NA,NA
SEE905843309764,Batteriespeicher Emsland,RWE Supply & Trading GmbH,Batteriespeicher,NA,45,45,2022,Volleinspeisung,49808,Lingen,Schüttorfer Straße,100,Niedersachsen,FALSE,NA,NA
SEE908154984538,GT 1,Mohn Media Mohndruck GmbH,Erdgas,ErdgasErdoelgas,5.25,5.167,1994,TeileinspeisungEigenverbrauch,33332,Gütersloh,Carl-Bertelsmann-Straße,161,NordrheinWestfalen,FALSE,NA,NA
SEE909727831365,Gasturbine Bad Salzungen,TEAG Thüringer Energie AG,Erdgas,ErdgasErdoelgas,10.005,9.829,1993,Volleinspeisung,36433,Bad Salzungen,Langenfelder Straße,82,Thueringen,FALSE,NA,NA
SEE910823058501,W08_B06_BHKW1+2,Dr. Ing. h.c. F. Porsche AG,Erdgas,ErdgasErdoelgas,1.998,1.998,2013,TeileinspeisungEigenverbrauch,71287,Weissach,Porschestraße,911,BadenWuerttemberg,FALSE,NA,NA
SEE913985941537,medl BHKW Broich Modul 2 neu,medl GmbH,Erdgas,ErdgasErdoelgas,2.673,2.673,2020,Volleinspeisung,45479,Mülheim,Duisburger Straße,50,NordrheinWestfalen,FALSE,NA,NA
SEE915170466979,Vianden M2,RWE Generation SE,Pumpspeicher,NA,100,100,1962,TeileinspeisungEigenverbrauch,9463,Stolzembourg,Rue de l'Energie,2,NA,FALSE,NA,NA
SEE918791805134,Turbine 23,INEOS Manufacturing Deutschland,Sonstige Energietraeger (nicht erneuerbar),SonstigeHergestellteGase,17.9,15.5,1963,TeileinspeisungEigenverbrauch,50769,Köln,Alte Str.,201,NordrheinWestfalen,FALSE,NA,NA
SEE903926257506,KW Häusern MS A2,Schluchseewerk AG,Pumpspeicher,NA,30,30,1931,None,79837,Häusern,Schwarzabruck,2,BadenWuerttemberg,FALSE,NA,NA
SEE904771605146,Biomassekraftwerk Emden,Statkraft Markets GmbH,Biomasse,NA,20,20,2004,Volleinspeisung,26725,Emden,Zum Kraftwerk,1,Niedersachsen,FALSE,NA,NA
SEE904983741502,MHKW Mannheim Generator T60,MVV Umwelt Asset GmbH,Abfall,AbfallHausmuellSiedlungsabfaelle,27.6,25.6,2010,TeileinspeisungEigenverbrauch,68169,Mannheim,Otto-Hahn-Straße,1,BadenWuerttemberg,FALSE,NA,NA
SEE905366486355,IPH Strom VT4,Infraserv GmbH & Co. Höchst KG,Erdgas,ErdgasErdoelgas,27,26.8,2021,Volleinspeisung,65929,Frankfurt,Brüningstraße,50,Hessen,FALSE,NA,NA
SEE906830618081,Fab Fortuna,RWE Power AG,Braunkohle,Rohbraunkohlen,30,15,1948,TeileinspeisungEigenverbrauch,50129,Bergheim,Auenheimer Straße,NA,NordrheinWestfalen,FALSE,NA,NA
SEE908746529123,GuD-Block 3,Stadtwerke Rostock Aktiengesellschaft,Erdgas,ErdgasErdoelgas,37,36,1996,Volleinspeisung,18069,Rostock,Schmarler Damm,5,MecklenburgVorpommern,FALSE,NA,NA
SEE902096864651,Maschine 1,Mineraloelraffinerie Oberrhein,Mineraloelprodukte,Raffineriegas,12.5,11.3,1995,TeileinspeisungEigenverbrauch,76187,Karlsruhe,Nördliche Raffineriestraße,1,BadenWuerttemberg,FALSE,NA,NA
SEE902244404746,W059-RD_Geb. 122/3,Firma Mercedes-Benz AG Werk 050 HPC NC50 LN-Nr.: 17319765,Mineraloelprodukte,Dieselkraftstoff,6.948,6.948,2015,TeileinspeisungEigenverbrauch,70327,Stuttgart,Mercedesstraße,137,BadenWuerttemberg,FALSE,NA,NA
SEE903702464654,PKV Dampfsammelschienen-KWK-Anlage Generator / Turbine GT 5,Papier- u. Kartonfabrik Varel GmbH & Co. KG,Erdgas,ErdgasErdoelgas,5.4,5.238,1989,TeileinspeisungEigenverbrauch,26316,Varel,Dangaster Straße,38,Niedersachsen,FALSE,NA,NA
SEE905716958785,trlyr 2,trlyr2 GmbH,Batteriespeicher,NA,10,10,2024,Volleinspeisung,94104,Tittling,Gehersberger Straße,NA,Bayern,FALSE,NA,NA
SEE911836897996,Batteriespeicher Herdecke,RWE Supply & Trading GmbH,Batteriespeicher,NA,6.25,6.25,2017,Volleinspeisung,58313,Herdecke,Im Schiffwinkel,43,NordrheinWestfalen,FALSE,NA,NA
SEE912912423627,Expander,Mineraloelraffinerie Oberrhein,Mineraloelprodukte,AndereMineraloelprodukte,19,18.9,1995,TeileinspeisungEigenverbrauch,76187,Karlsruhe,Nördliche Raffineriestraße,1,BadenWuerttemberg,FALSE,NA,NA
SEE913516809497,Datteln 4,Datteln 4 a.s & Co. KG,Steinkohle,Steinkohlen,1100,1052,2020,TeileinspeisungEigenverbrauch,45711,Datteln,Im Löringhof,10,NordrheinWestfalen,FALSE,NA,NA
SEE917689107459,BESS Merseburg,Münch visiontec GmbH & Co. KG,Batteriespeicher,NA,6.67,6.67,2023,Volleinspeisung,06217,Merseburg,NA,NA,SachsenAnhalt,FALSE,NA,NA
SEE918583974024,Küstenkraftwerk K.I.E.L Motor 2,Stadtwerke Kiel AG,Erdgas,ErdgasErdoelgas,9.571,9.456,2018,Volleinspeisung,24149,Kiel,Hasselfelde,30,SchleswigHolstein,FALSE,NA,NA
SEE901523079712,SMAREG8 Calbe,SMAREG 8 GmbH & Co. KG,Batteriespeicher,NA,20.5,20.5,2024,Volleinspeisung,39240,Calbe,Barbyer Chaussee,NA,SachsenAnhalt,FALSE,NA,NA
SEE904455926604,Turbine 4,Maxauer Papierfarbik GmbH,Waerme,Dampf,20,19,2010,TeileinspeisungEigenverbrauch,76187,Karlsruhe,Mitscherlichstraße,11,BadenWuerttemberg,FALSE,NA,NA
SEE906382407782,Pfrombach D F7,Uniper Kraftwerke GmbH,Wasser,NA,4.38,4.38,1929,Volleinspeisung,85368,Moosburg,Am Kraftwerk,1,Bayern,FALSE,NA,NA
SEE908927793930,Regensburg KWK 2,BMW AG,Erdgas,ErdgasErdoelgas,2.678,2.624,2011,TeileinspeisungEigenverbrauch,93055,Regensburg,Herbert-Quandt-Allee,1,Bayern,FALSE,NA,NA
SEE911476679648,Serrig Maschine 1,RWE Generation Hydro GmbH,Wasser,NA,6.05,6.05,1985,Volleinspeisung,54441,Taben-Rodt,An der Staustufe,44,RheinlandPfalz,FALSE,NA,NA
SEE911613995433,Kraftwerk Walheim GTD,EnBW Energie Baden-Württemberg AG,Mineraloelprodukte,HeizoelLeicht,143,136,1981,TeileinspeisungEigenverbrauch,74399,Walheim,Mühlstraße,1,BadenWuerttemberg,FALSE,NA,NA
SEE912494745674,Pfrombach E F8,Uniper Kraftwerke GmbH,Wasser,NA,14,14,1929,Volleinspeisung,85368,Moosburg,Am Kraftwerk,1,Bayern,FALSE,NA,NA
SEE905804223849,KW Laufenburg Maschine 1,naturenergie holding AG,Wasser,NA,10.6,10.442,1990,TeileinspeisungEigenverbrauch,5080,Laufenburg,Baslerstrasse,NA,NA,FALSE,NA,NA
SEE906074606738,Eitting D F1,Uniper Kraftwerke GmbH,Wasser,NA,9,9,1925,Volleinspeisung,85462,Eitting,Am Moosrain,10,Bayern,FALSE,NA,NA
SEE909400536488,WKW Rudolf-Fettweis-Werk NDW M1,EnBW Energie Baden-Württemberg AG,Wasser,NA,1.27,1.27,1918,TeileinspeisungEigenverbrauch,76596,Forbach,Werkstraße,5,BadenWuerttemberg,FALSE,NA,NA
SEE905937514456,GT 4,Peissenberger Kraftwerksgesellschaft,Mineraloelprodukte,HeizoelLeicht,23.2,23.2,1982,Volleinspeisung,83734,Hausham,Brentenstraße,3,Bayern,TRUE,2024,EnWG
SEE914878135613,HKW Potsdam-Süd Block2,Energie und Wasser Potsdam GmbH,Erdgas,ErdgasErdoelgas,42,40.9,1996,Volleinspeisung,14478,Potsdam,Zum Heizwerk,20,Brandenburg,FALSE,NA,NA
SEE916435406600,Küstenkraftwerk K.I.E.L Motor 9,Stadtwerke Kiel AG,Erdgas,ErdgasErdoelgas,9.571,9.456,2018,Volleinspeisung,24149,Kiel,Hasselfelde,30,SchleswigHolstein,FALSE,NA,NA
SEE900123363948,Kraftwerk Teufelsbruck MS4,VERBUND Innkraftwerke GmbH,Wasser,NA,5,5,1938,Volleinspeisung,83564,Soyen,Ponschabaustraße,25,Bayern,FALSE,NA,NA
SEE901884895389,Dampfturbine 1,Universitätsklinkum Freiburg und Bad Krozingen,Erdgas,ErdgasErdoelgas,12.988,12.8,2012,TeileinspeisungEigenverbrauch,79106,Freiburg,Hartmannstraße,1,BadenWuerttemberg,FALSE,NA,NA
SEE904364883227,KonTu,Röhm GmbH,Erdgas,ErdgasErdoelgas,7.1,6.9,2012,TeileinspeisungEigenverbrauch,67547,Worms,Im Pfaffenwinkel,6,RheinlandPfalz,FALSE,NA,NA
SEE905229048430,GT8,EGGER Holzwerkstoffe Brilon GmbH & Co. KG,Erdgas,ErdgasErdoelgas,5,5,1998,TeileinspeisungEigenverbrauch,59929,Brilon,Im Kissen,19,NordrheinWestfalen,FALSE,NA,NA
SEE907828499484,F13G6,Henkel AG & Co. KGaA,Erdgas,ErdgasErdoelgas,20,18,1983,TeileinspeisungEigenverbrauch,40589,Düsseldorf,Henkelstraße,67,NordrheinWestfalen,FALSE,NA,NA
SEE910471578864,Heizkraftwerk an der Friedensbrücke DampfturbineII,Stadtwerke Würzburg AG,Erdgas,ErdgasErdoelgas,25.5,25,1993,Volleinspeisung,97080,Würzburg,Veitshöchheimer Straße,1,Bayern,FALSE,NA,NA
SEE901604837408,Saalachkraftwerk E2,DB Energie GmbH,Wasser,NA,1.28,1.28,1914,Volleinspeisung,83435,Bad Reichenhall,Thumseestraße,25,Bayern,FALSE,NA,NA
SEE905257392765,Kesselhaus,Cosun Beet Company GmbH & Co. KG,Erdgas,ErdgasErdoelgas,16,15,1993,TeileinspeisungEigenverbrauch,17389,Anklam,Bluthsluster Straße,24,MecklenburgVorpommern,FALSE,NA,NA
SEE907731725434,BHKW Jungfernwiese - modernisiert,Stadtwerke Greifswald GmbH,Erdgas,ErdgasErdoelgas,4.5,4.45,2026,Volleinspeisung,17489,Greifswald,An der Jungfernwiese,8,MecklenburgVorpommern,FALSE,NA,NA
SEE910013400721,KW Laufenburg Maschine 2,naturenergie holding AG,Wasser,NA,10.6,10.442,1990,Volleinspeisung,5080,Laufenburg,Baslerstrasse,NA,NA,FALSE,NA,NA
SEE912975333499,UPM Schongau HKW 3 GT,UPM GmbH,Erdgas,ErdgasErdoelgas,47,44.328,2014,Volleinspeisung,86956,Schongau,Friedrich-Haindl-Straße,10,Bayern,FALSE,NA,NA
SEE901602471161,Alzwerk Maschine 1,Wacker Chemie,Wasser,NA,10.08,10.08,1922,TeileinspeisungEigenverbrauch,84489,Burghausen,Johannes-Hess-Straße,24,Bayern,FALSE,NA,NA
SEE903050601572,Turbine/Generator 9,Wacker Chemie,Erdgas,ErdgasErdoelgas,13.6,13.5,1987,TeileinspeisungEigenverbrauch,84489,Burghausen,Johannes-Hess-Straße,24,Bayern,FALSE,NA,NA
SEE910475623805,Ofenlinie K3,ZAK Energie GmbH,Abfall,AbfallHausmuellSiedlungsabfaelle,2.8,2.2,1984,Volleinspeisung,87437,Kempten,Dieselstraße,20,Bayern,FALSE,NA,NA
SEE905714722562,Heizkraftwerk Stuttgart-Münster DT 15,EnBW Energie Baden-Württemberg AG,Erdgas,ErdgasErdoelgas,47.2,45,1984,TeileinspeisungEigenverbrauch,70376,Stuttgart,Voltastraße,45,BadenWuerttemberg,FALSE,NA,NA
SEE906215229154,MVA EEW Helmstedt,EEW Energy from Waste Helmstedt GmbH,Abfall,AbfallHausmuellSiedlungsabfaelle,42.3,37.5,2014,TeileinspeisungEigenverbrauch,38372,Büddenstedt,Am Kraftwerk,2,Niedersachsen,FALSE,NA,NA
SEE906312850534,Detzem Maschine 4,RWE Generation Hydro GmbH,Wasser,NA,6,6,1962,Volleinspeisung,54340,Detzem,Am Moselufer,1,RheinlandPfalz,FALSE,NA,NA
SEE907030791383,BMHKW der ESWE BioEnergie,ESWE BioEnergie GmbH,Biomasse,NA,11.4,10.5,2013,TeileinspeisungEigenverbrauch,65205,Wiesbaden,Deponiestraße,14,Hessen,FALSE,NA,NA
SEE910161577337,UER L57 M1,Currenta GmbH & Co. OHG,Steinkohle,Steinkohlen,18.2,17.097,1993,TeileinspeisungEigenverbrauch,47829,Krefeld,Rheinuferstraße,7,NordrheinWestfalen,FALSE,NA,NA
SEE916532936024,Batteriespeicher Westfalen 1,RWE Generation SE,Batteriespeicher,NA,174.24,140,2024,Volleinspeisung,59071,Hamm,Siegenbeckstraße,10,NordrheinWestfalen,FALSE,NA,NA
SEE902796244388,Turbine 4,Sappi Alfeld,Erdgas,ErdgasErdoelgas,14,11,1970,TeileinspeisungEigenverbrauch,31061,Alfeld,Mühlenmasch,1,Niedersachsen,FALSE,NA,NA
SEE906889375157,Bittenbrunn E K2,Donau-Wasserkraft AG,Wasser,NA,7,6.73,1969,Volleinspeisung,86633,Neuburg,Kraftwerkstraße,8,Bayern,FALSE,NA,NA
SEE908089235248,Dormagen GT2,RWE Generation SE,Erdgas,ErdgasErdoelgas,189,184,2000,TeileinspeisungEigenverbrauch,41540,Dormagen,Alte Heerstraße,1,NordrheinWestfalen,FALSE,NA,NA
SEE911257641864,W065-Gebäude 120 / BHKW Modul 02,Firma Mercedes-Benz AG Werk 050 HPC NC50 LN-Nr.: 17319765,Erdgas,ErdgasErdoelgas,4.3,4.2,2012,TeileinspeisungEigenverbrauch,40476,Düsseldorf,Rather Straße,51,NordrheinWestfalen,FALSE,NA,NA
SEE913911815888,Alzwerk Maschine 2,Wacker Chemie,Wasser,NA,10.08,10.08,1922,TeileinspeisungEigenverbrauch,84489,Burghausen,Johannes-Hess-Straße,24,Bayern,FALSE,NA,NA
SEE914989602134,IPH Strom GTX2,Infraserv GmbH & Co. Höchst KG,Erdgas,ErdgasErdoelgas,50,49.8,2011,Volleinspeisung,65929,Frankfurt,Brüningstraße,50,Hessen,FALSE,NA,NA
SEE916030519361,TG-1902,Mineraloelraffinerie Oberrhein,Mineraloelprodukte,Raffineriegas,8.1,7.3,1995,TeileinspeisungEigenverbrauch,76187,Karlsruhe,Nördliche Raffineriestraße,1,BadenWuerttemberg,FALSE,NA,NA
SEE918037222657,PSW Hohenwarte 2 PSS C,Vattenfall Wasserkraft GmbH,Pumpspeicher,NA,40,39.7,1965,Volleinspeisung,07338,Hohenwarte,Preßwitzer Straße,25,Thueringen,FALSE,NA,NA
SEE900963630248,Aufkirchen D F1,Uniper Kraftwerke GmbH,Wasser,NA,9,9,1924,Volleinspeisung,85445,Oberding,Bayernwerkstraße,1,Bayern,FALSE,NA,NA
SEE905751443291,BHKW Hastedt Motor 06,swb Erzeugung AG & Co. KG,Erdgas,ErdgasErdoelgas,11.8096,11.6794,2022,Volleinspeisung,28207,Bremen,Hastedter Osterdeich,255,Bremen,FALSE,NA,NA
SEE906681939748,BHKW Hafen - Modul 1,Jäckering Mühlen- und Nährmittelwerke GmbH,Erdgas,ErdgasErdoelgas,2.19,2.173,2013,TeileinspeisungEigenverbrauch,59067,Hamm,Speicherstraße,15,NordrheinWestfalen,FALSE,NA,NA
SEE916041421592,NUKAspeicher,Allgäuer Überlandwerk GmbH,Batteriespeicher,NA,1.718,1.718,2024,Volleinspeisung,87448,Waltenhofen,Veits,13,Bayern,FALSE,NA,NA
SEE921222366043,Batteriepark Metelen,Battery Park Metelen GmbH,Batteriespeicher,NA,92.5,92.5,2026,Volleinspeisung,48629,Metelen,NA,NA,NordrheinWestfalen,FALSE,NA,NA
SEE916697461249,Dingolfing K3,Uniper Kraftwerke GmbH,Wasser,NA,5,5,1958,Volleinspeisung,84130,Dingolfing,Bayernwerkstraße,55,Bayern,FALSE,NA,NA
SEE902745894848,Aufkirchen E F1,Uniper Kraftwerke GmbH,Wasser,NA,9,9,1924,Volleinspeisung,85445,Oberding,Bayernwerkstraße,1,Bayern,FALSE,NA,NA
SEE906061539261,"HKW Pfaffenwald, Generator 42",Universität Stuttgart,Erdgas,ErdgasErdoelgas,5.2,4.9,1988,TeileinspeisungEigenverbrauch,70569,Stuttgart,Pfaffenwaldring,8,BadenWuerttemberg,FALSE,NA,NA
SEE906691973961,medl BHKW Broich Modul 4,medl GmbH,Biomasse,NA,1.999,1.999,2011,Volleinspeisung,45479,Mülheim,Duisburger Straße,50,NordrheinWestfalen,FALSE,NA,NA
SEE908227299279,Vianden M4,RWE Generation SE,Pumpspeicher,NA,100,100,1963,TeileinspeisungEigenverbrauch,9463,Stolzembourg,Rue de l'Energie,2,NA,FALSE,NA,NA
SEE916733797554,Turbine 1,Julius Glatz,Erdgas,ErdgasErdoelgas,4.5,4.15,1955,TeileinspeisungEigenverbrauch,67468,Neidenfels,NA,NA,RheinlandPfalz,FALSE,NA,NA
SEE917250397289,RKI Iffezheim M2,EnBW Energie Baden-Württemberg AG,Wasser,NA,27,27,1978,TeileinspeisungEigenverbrauch,76473,Iffezheim,An der Staustufe,27,BadenWuerttemberg,FALSE,NA,NA
SEE905108374407,BHKW Si Si307,Robert Bosch GmbH Schwieberdingen,Erdgas,ErdgasErdoelgas,1.56,1.472,2012,TeileinspeisungEigenverbrauch,71701,Schwieberdingen,Robert-Bosch-Straße,2,BadenWuerttemberg,FALSE,NA,NA
